Treatment,rep1,rep2,rep3,rep4,rep5,rep6
0,0.3056,0.3726,0.325,0.3446,0.3752,0.3512
1,0.3785,0.4082,0.4234,0.3677,0.4005,0.3632
2,0.4399,0.452,0.4509,0.3967,0.406,0.3954
3,0.463,0.4717,0.477,0.3724,0.3942,0.3834
4,0.4556,0.471,0.4882,0.378,0.3873,0.3787
5,0.4817,0.475,0.5104,0.4394,0.4455,0.3999
6,0.4902,0.5048,0.4986,0.4345,0.4498,0.4288
7,0.5169,0.4802,0.5009,0.4324,0.417,0.4231
8,0.4824,0.5028,0.5015,0.4356,0.4546,0.406
9,0.5283,0.4906,0.5019,0.4308,0.422,0.3953
