Name,Formula,Area_Blank,Area_1_2,Area_1_1,Area_100_2,Area_100_1,Area_25_2,Area_25_1,Area_873_2,Area_873_1,Area_50_2,Area_50_1,Area_Std1,Area_Std2,Area_Std3,Group_Area_NaCl_1,Group_Area_NaCl_25,Group_Area_NaCl_50,Group_Area_NaCl_100,Group_Area_NaCl_400,Group_Area_Std1,Group_Area_Std2,Group_Area_Std3,Ratio_NaCl_1,Ratio_NaCl_25,Ratio_NaCl_50,Ratio_NaCl_100,Ratio_NaCl_400,Ratio_Std1,Ratio_Std2,Ratio_Std3
Pyridoxal 5'-phosphate,C8 H10 N O6 P,13834.53095,152009.3607,91326.82812,648100.6925,468371.6863,9582989.036,144632.0611,13808.23906,28781.70633,16949964.86,11192948.15,15363.0856,13453.99289,14158.68667,121668.0944,4863810.549,14071456.5,558236.1894,21294.9727,15363.0856,13453.99289,14158.68667,8.657,346.071,1001.215,39.72,1.515,1.093,0.957,1.007
,C6 H4 N8 O17 P2,54025.5584,20055.43686,23839.951,3017438.288,4780839.486,103629.8885,88367.99909,16987987.11,14106727.97,954780.9702,992141.9614,4053737.825,8640415.841,7666426.148,21947.69393,95998.94378,973461.4658,3899138.887,15547357.54,4053737.825,8640415.841,7666426.148,2.253,9.853,99.909,400.18,1595.67,416.047,886.791,786.828
,C5 H5 N7,370350.4365,12306262.3,17161872.61,7737565.445,6977832.364,18247126.11,10183389.3,3732253.772,3791636.499,12538358.24,16132484.26,983002.2843,1010302.452,812196.3571,14734067.45,14215257.71,14335421.25,7357698.904,3761945.135,983002.2843,1010302.452,812196.3571,29.346,28.313,28.552,14.654,7.493,1.958,2.012,1.618
,C10 H8 N3 O P S2,15740.23982,105625.2551,95478.66074,5121623.542,12636531.44,875062.0167,612645.3456,5585727.784,17206349.78,2335723.884,2671800.596,2608869.755,9474798.284,10119457.02,100551.9579,743853.6811,2503762.24,8879077.492,11396038.78,2608869.755,9474798.284,10119457.02,6.716,49.683,167.231,593.049,761.162,174.251,632.839,675.897
pretyrosine,C10 H13 N O5,22994.6355,249548.0416,237585.7045,410957.0688,569612.7096,299922.3155,301966.9472,556111.2319,987187.0589,297863.0534,34378.72783,17226259.1,40265.50668,24811.77942,243566.873,300944.6314,166120.8906,490284.8892,771649.1454,17226259.1,40265.50668,24811.77942,10.732,13.26,7.32,21.603,34.001,759.037,1.774,1.093
,C10 H17 N5 O11 P2,6892.7343,8471.994311,8824.082468,9451.039899,17380379.76,123465.083,85429.3243,10686.82653,10149.94755,8773.418685,8961.454365,35140.61185,7798.231933,8651.35108,8648.03839,104447.2036,8867.436525,8694915.401,10418.38704,35140.61185,7798.231933,8651.35108,1.335,16.119,1.368,1341.824,1.608,5.423,1.203,1.335
2-Acetamido-2-deoxy-D-gluconolactone,C8 H13 N O6,6955.674401,2761642.345,2283950.733,3066441.405,5563561.061,2537661.682,3505271.12,5039035.067,17402802.15,1280441.952,1862613.101,143442.7731,30070.61541,16079.30427,2522796.539,3021466.401,1571527.526,4315001.233,11220918.61,143442.7731,30070.61541,16079.30427,322.894,386.719,201.141,552.279,1436.171,18.359,3.849,2.058
,C6 H13 O10 P3 S2,12808.81657,23768.77352,28254.00413,14434094.21,16226138.13,6323983.253,5503235.979,8489801.298,10178302.8,10911334.54,12607849.48,12428163.11,12814261.78,19812496.48,26011.38882,5913609.616,11759592.01,15330116.17,9334052.051,12428163.11,12814261.78,19812496.48,2.253,512.112,1018.367,1327.57,808.318,1076.264,1109.7,1715.739
,C3 H6 N2 O5,308168.8049,17972159.43,14572841.35,5791510.592,5879814.2,10088289.74,7413280.211,2042311.823,1775420.167,9685849.702,9788669.438,640299.6176,836312.7585,609262.5123,16272500.39,8750784.974,9737259.57,5835662.396,1908865.995,640299.6176,836312.7585,609262.5123,35.431,19.054,21.201,12.706,4.156,1.394,1.821,1.327
lysophosphatidylcholine 14:1(9Z)/0:0,C22 H44 N O7 P,19782.95074,6845438.018,18045223.59,2401941.493,5387290.673,5005238.828,3971289.874,1510664.704,1202367.354,5225314.102,3040782.337,18552.41578,20797.33624,19183.65758,12445330.81,4488264.351,4133048.22,3894616.083,1356516.029,18552.41578,20797.33624,19183.65758,680.929,245.569,226.134,213.089,74.22,1.015,1.138,1.05
