max_growth,k_val,num_open,MDF
0.5081746472339169,0.857,1,5.25
0.511193254267743,0.847,1,5.25
0.5142118574057186,0.837,1,5.25
0.5172304605436885,0.827,1,5.25
0.5202490596933161,0.817,1,5.25
0.5232676668196258,0.8069999999999999,1,5.25
0.5262862699576423,0.7969999999999999,1,5.25
0.5293048690377884,0.7869999999999999,1,5.25
0.5323234721525755,0.7769999999999999,1,5.25
0.5348534439899476,0.7669999999999999,1,5.25
0.5378692877674073,0.7569999999999999,1,5.25
0.540885139784468,0.7469999999999999,1,5.25
0.5439009876816044,0.7369999999999999,1,5.25
0.5469168355789977,0.7269999999999999,1,5.25
0.5499326834762434,0.7169999999999999,1,5.25
0.5529485313734601,0.7069999999999999,1,5.25
0.5558433741983054,0.6969999999999998,1,5.25
0.5573397328266292,0.6869999999999998,1,5.25
0.560346729817863,0.6769999999999998,1,5.25
0.5633537225070102,0.6669999999999998,1,5.25
0.5663607238006002,0.6569999999999998,1,5.25
0.5692132818974067,0.6469999999999998,1,5.25
0.5719582935520637,0.6369999999999998,1,5.25
0.5749631028395039,0.6269999999999998,1,5.25
0.5778628133821061,0.6169999999999998,1,5.25
0.580709661437707,0.6069999999999998,1,5.25
0.583183000740609,0.5969999999999998,1,5.25
0.584886214853292,0.5869999999999997,1,5.25
0.5871260463315271,0.5769999999999997,1,5.25
0.5900631657203702,0.5669999999999997,1,5.25
0.593053129723135,0.5569999999999997,1,5.25
0.5958823435474744,0.5469999999999997,1,5.25
0.5986744176191389,0.5369999999999997,1,5.25
0.6016625959687246,0.5269999999999997,1,5.25
0.60465077431812,0.5169999999999997,1,5.25
0.6076389526676973,0.5069999999999997,1,5.25
0.6106271263831328,0.49699999999999966,1,5.25
0.613615304709888,0.48699999999999966,1,5.25
0.6160463481563445,0.47699999999999965,1,5.25
0.6176685557863308,0.46699999999999964,1,5.25
0.6203517335263398,0.45699999999999963,1,5.25
0.6232579808768325,0.4469999999999996,1,5.25
0.6261450388391584,0.4369999999999996,1,5.25
0.6291217496821105,0.4269999999999996,1,5.25
0.6319626791945292,0.4169999999999996,1,5.25
0.634938760118317,0.4069999999999996,1,5.25
0.6374792114885651,0.3969999999999996,1,5.25
0.6404532553072539,0.38699999999999957,1,5.25
0.6434272942661308,0.37699999999999956,1,5.25
0.6464013429444849,0.36699999999999955,1,5.25
0.6493753867634262,0.35699999999999954,1,5.25
0.6513371777879027,0.34699999999999953,1,5.25
0.6513355275594049,0.3369999999999995,1,5.25
0.6513355275594735,0.3269999999999995,1,5.25
0.6513355275594485,0.3169999999999995,1,5.25
0.6513355275595009,0.3069999999999995,1,5.25
0.6513355275594613,0.2969999999999995,1,5.25
0.6513355275594966,0.2869999999999995,1,5.25
0.6511957557781084,0.27699999999999947,1,5.25
0.6511957557778834,0.26699999999999946,1,5.25
0.649767709293379,0.25699999999999945,1,5.25
0.6481407677281281,0.24699999999999944,1,5.25
0.648140384057333,0.23699999999999943,1,5.25
0.6477349017719234,0.22699999999999942,1,5.25
0.6463621680940825,0.21699999999999942,1,5.25
0.643586143176638,0.2069999999999994,1,5.25
0.6419972279014237,0.1969999999999994,1,5.25
0.6413417922471933,0.1869999999999994,1,5.25
0.6399950643596742,0.17699999999999938,1,5.25
0.6151405446041983,0.16699999999999937,1,5.25
0.6151405492615664,0.15699999999999936,1,5.25
0.6102858022619737,0.14699999999999935,1,5.25
0.6102858022619622,0.13699999999999934,1,5.25
0.6102857976778786,0.12699999999999934,1,5.25
0.5894170124225788,0.11699999999999934,1,5.25
0.588093703896623,0.10699999999999935,1,5.25
0.5096264662113117,0.09699999999999935,1,5.25
0.5080141406222138,0.08699999999999936,1,5.25
6.078947610769328e-12,0.07699999999999936,1,5.25
6.110387450925221e-12,0.06699999999999937,1,5.25
7.1078201146755124e-12,0.056999999999999364,1,5.25
1.0909921570137327e-11,0.04699999999999936,1,5.25
5.808429346834071e-12,0.03699999999999936,1,5.25
0.0,0.026999999999999358,1,5.25
0.0,0.016999999999999356,1,5.25
