Treatment,rep1,rep2,rep3,rep4,rep5,rep6
0,0.3516,0.3373,0.3485,0.3448,0.3548,0.3475
1,0.4416,0.4009,0.439,0.4178,0.4275,0.4679
2,0.5115,0.5117,0.4802,0.493,0.494,0.488
3,0.5622,0.5122,0.5625,0.512,0.5125,0.5021
4,0.5859,0.5419,0.5749,0.5096,0.4975,0.4955
5,0.5563,0.5398,0.5657,0.5,0.5025,0.496
6,0.5475,0.5442,0.5475,0.503,0.4984,0.495
7,0.5324,0.5399,0.5386,0.4917,0.4721,0.4816
8,0.5211,0.5275,0.5396,0.4837,0.4867,0.476
9,0.5044,0.514,0.4997,0.4729,0.4642,0.4592
