max_growth,k_val,rxns,Z
0.7432,0.002480673902371617,CYTDK2,1.0
0.7432,0.002480673902371617,XPPT,1.0
0.7432,0.002480673902371617,HXPRT,1.0
0.7432,0.002480673902371617,OMPDC,0
0.7432,0.002480673902371617,G5SD,1.0
0.7432,0.002480673902371617,CS,1.0
0.7432,0.002480673902371617,ALATA_L2,0.0
0.7432,0.002480673902371617,PTRCTA,0.0
0.7432,0.002480673902371617,ACS,0
0.7432,0.002480673902371617,CYSDS,1.0
0.7432,0.002480673902371617,PPA,1.0
0.7432,0.002480673902371617,APRAUR,0
0.7432,0.002480673902371617,PPCK,1.0
0.7432,0.002480673902371617,ME1,0
0.7432,0.002480673902371617,DB4PS,1.0
0.7432,0.002480673902371617,RBFK,1.0
0.7432,0.002480673902371617,XYLK,0
0.7432,0.002480673902371617,RBK,0
0.7432,0.002480673902371617,GLYK,0
0.7432,0.002480673902371617,ACP1_FMN,0
0.7432,0.002480673902371617,RBFSb,0
0.7432,0.002480673902371617,NDP3,0
0.7432,0.002480673902371617,CDPPH,1.0
0.7432,0.002480673902371617,NDP7,0
0.7432,0.002480673902371617,FBP,1.0
0.7432,0.002480673902371617,GLGC,1.0
0.7432,0.002480673902371617,ALATA_D2,0.0
0.7432,0.002480673902371617,PYK,0
0.7432,0.002480673902371617,PMDPHT,0
0.7432,0.002480673902371617,CPPPGO,0
0.7432,0.002480673902371617,DHORD5,1.0
0.7432,0.002480673902371617,GLYCTO2,0
0.7432,0.002480673902371617,GLYCTO3,-0.0
0.7432,0.002480673902371617,GLYCTO4,0
0.7432,0.002480673902371617,RBFSa,1.0
0.7432,0.002480673902371617,ACHBS,0
0.7432,0.002480673902371617,PFK_3,1.0
0.7432,0.002480673902371617,DHAD2,0
0.7432,0.002480673902371617,ACLS,1.0
0.7432,0.002480673902371617,TRPS2,0
0.7432,0.002480673902371617,G3PD5,1.0
0.7432,0.002480673902371617,G1PP,0
0.7432,0.002480673902371617,PFL,0
0.7432,0.002480673902371617,ANS,1.0
0.7432,0.002480673902371617,FRD2,0
0.7432,0.002480673902371617,FRD3,1.0
0.7432,0.002480673902371617,ANPRT,1.0
0.7432,0.002480673902371617,POX,1.0
0.7432,0.002480673902371617,CHORM,1.0
0.7432,0.002480673902371617,CHORS,0
0.7432,0.002480673902371617,IGPS,1.0
0.7432,0.002480673902371617,LEUTAi,0
0.7432,0.002480673902371617,DMATT,0
0.7432,0.002480673902371617,GRTT,0
0.7432,0.002480673902371617,UPP3S,1.0
0.7432,0.002480673902371617,UPPDC1,0
0.7432,0.002480673902371617,MOAT,1.0
0.7432,0.002480673902371617,UDCPDPS,0
0.7432,0.002480673902371617,USHD,1.0
0.7432,0.002480673902371617,MGSA,0
0.7432,0.002480673902371617,IMPD,0
0.7432,0.002480673902371617,PPS,1.0
0.7432,0.002480673902371617,LPADSS,1.0
0.7432,0.002480673902371617,TDSK,1.0
0.7432,0.002480673902371617,TMPPP,0
0.7432,0.002480673902371617,EDA,1.0
0.7432,0.002480673902371617,NTPP1,1.0
0.7432,0.002480673902371617,URIK1,1.0
0.7432,0.002480673902371617,URIK2,1.0
0.7432,0.002480673902371617,NTPP2,0
0.7432,0.002480673902371617,PGL,1.0
0.7432,0.002480673902371617,NTPTP1,0.0
0.7432,0.002480673902371617,NTPTP2,0.0
0.7432,0.002480673902371617,CYTDK1,1.0
0.7432,0.002480673902371617,DHQTi,1.0
0.7432,0.002480673902371617,IPMD,0
0.7432,0.002480673902371617,G6PDA,1.0
0.7432,0.002480673902371617,RNDR1,1.0
0.7432,0.002480673902371617,RNDR3,0
0.7432,0.002480673902371617,RNDR4,0
0.7432,0.002480673902371617,ALDD2y,1.0
0.7432,0.002480673902371617,TMDS,0
0.7432,0.002480673902371617,TMDK1,1.0
0.7432,0.002480673902371617,PPCDC,0
0.7432,0.002480673902371617,FTHFD,1.0
0.7432,0.002480673902371617,DHAD1,0
0.7432,0.002480673902371617,G3PD7,0
0.7432,0.002480673902371617,EDD,1.0
0.7432,0.002480673902371617,NADH9,1.0
0.7432,0.002480673902371617,NADH10,0
0.7432,0.002480673902371617,INSK,1.0
