max_growth,k_val,rxns,Z
0.8305,0.0026957434573120945,NTD5,1.0
0.8305,0.0026957434573120945,HEMEOS,0
0.8305,0.0026957434573120945,ADMDC,1.0
0.8305,0.0026957434573120945,AGMT,1.0
0.8305,0.0026957434573120945,NTD6,1.0
0.8305,0.0026957434573120945,LGTHL,0.0
0.8305,0.0026957434573120945,PYDXPP,1.0
0.8305,0.0026957434573120945,PDXPP,1.0
0.8305,0.0026957434573120945,ARGDC,1.0
0.8305,0.0026957434573120945,ARGSS,1.0
0.8305,0.0026957434573120945,SPMS,1.0
0.8305,0.0026957434573120945,DXPS,1.0
0.8305,0.0026957434573120945,OAADC,1.0
0.8305,0.0026957434573120945,MNNH,0
0.8305,0.0026957434573120945,CDPMEK,1.0
0.8305,0.0026957434573120945,ALTRH,0
0.8305,0.0026957434573120945,DDGLK,0
0.8305,0.0026957434573120945,ICL,1.0
0.8305,0.0026957434573120945,UAGDP,1.0
0.8305,0.0026957434573120945,UAGCVT,1.0
0.8305,0.0026957434573120945,GLYCL,1.0
0.8305,0.0026957434573120945,CMPN,1.0
0.8305,0.0026957434573120945,NNDPR,1.0
0.8305,0.0026957434573120945,HCYSMT,1.0
0.8305,0.0026957434573120945,DMQMT,0
0.8305,0.0026957434573120945,LACZ,0
0.8305,0.0026957434573120945,TRE6PH,0
0.8305,0.0026957434573120945,PPC,1.0
0.8305,0.0026957434573120945,ICHORS_copy1,0.0
0.8305,0.0026957434573120945,G3PT,1.0
0.8305,0.0026957434573120945,CINNDO,0
0.8305,0.0026957434573120945,DHPPD,0
0.8305,0.0026957434573120945,DHCIND,0
0.8305,0.0026957434573120945,CITL,1.0
0.8305,0.0026957434573120945,GOFUCR,0
0.8305,0.0026957434573120945,PYDXK,1.0
0.8305,0.0026957434573120945,DNMPPA,1.0
0.8305,0.0026957434573120945,HPPK2,1.0
0.8305,0.0026957434573120945,PTPATi,1.0
0.8305,0.0026957434573120945,HEX7,1.0
0.8305,0.0026957434573120945,DXPRIi,1.0
0.8305,0.0026957434573120945,GTPCII2,1.0
0.8305,0.0026957434573120945,URIC,1.0
0.8305,0.0026957434573120945,SADT2,1.0
0.8305,0.0026957434573120945,OPHBDC,1.0
0.8305,0.0026957434573120945,OHPHM,0
0.8305,0.0026957434573120945,DHORD2,1.0
0.8305,0.0026957434573120945,PFK_2,0
0.8305,0.0026957434573120945,ACACCT,0.0
0.8305,0.0026957434573120945,SDPDS,1.0
0.8305,0.0026957434573120945,DMSOR1,0
0.8305,0.0026957434573120945,PGLYCP,0
0.8305,0.0026957434573120945,DKGLCNR2y,0
0.8305,0.0026957434573120945,G1PTT,0.0
0.8305,0.0026957434573120945,TDPGDH,0
0.8305,0.0026957434573120945,ADCS,1.0
0.8305,0.0026957434573120945,ADCL,1.0
0.8305,0.0026957434573120945,DHAPT,1.0
0.8305,0.0026957434573120945,UDPGALM,0.0
0.8305,0.0026957434573120945,TDPDRE,0
0.8305,0.0026957434573120945,TDPDRR,0
0.8305,0.0026957434573120945,RZ5PP,0
0.8305,0.0026957434573120945,DURIK1,1.0
0.8305,0.0026957434573120945,G3PD6,1.0
0.8305,0.0026957434573120945,ALLTN,1.0
0.8305,0.0026957434573120945,UAPGR,1.0
0.8305,0.0026957434573120945,UPPRT,1.0
0.8305,0.0026957434573120945,NTD9,1.0
0.8305,0.0026957434573120945,CTPS2,1.0
0.8305,0.0026957434573120945,NTD1,1.0
0.8305,0.0026957434573120945,NTD7,1.0
0.8305,0.0026957434573120945,PAPPT3,1.0
0.8305,0.0026957434573120945,UAGPT3,1.0
0.8305,0.0026957434573120945,AOBUTDs,0
0.8305,0.0026957434573120945,ADNUC,1.0
0.8305,0.0026957434573120945,GMHEPPA,0
0.8305,0.0026957434573120945,S7PI,0.0
0.8305,0.0026957434573120945,TRPS3,1.0
0.8305,0.0026957434573120945,AGMHE,0
0.8305,0.0026957434573120945,NTD10,1.0
0.8305,0.0026957434573120945,GMHEPAT,0
0.8305,0.0026957434573120945,ADPT,1.0
0.8305,0.0026957434573120945,IDOND2,0
0.8305,0.0026957434573120945,FADRx,1.0
0.8305,0.0026957434573120945,GTPDPK,1.0
0.8305,0.0026957434573120945,NADN,1.0
0.8305,0.0026957434573120945,GLYCLTDx,1.0
0.8305,0.0026957434573120945,HPYRRy,1.0
0.8305,0.0026957434573120945,ACODA,1.0
0.8305,0.0026957434573120945,ADA,1.0
0.8305,0.0026957434573120945,DADA,1.0
0.8305,0.0026957434573120945,ADD,1.0
0.8305,0.0026957434573120945,HBZOPT,1.0
0.8305,0.0026957434573120945,PNTK,1.0
0.8305,0.0026957434573120945,ADSS,1.0
0.8305,0.0026957434573120945,AGDC,1.0
0.8305,0.0026957434573120945,OCTDPS,1.0
0.8305,0.0026957434573120945,ASNN,1.0
0.8305,0.0026957434573120945,DPCOAK,1.0
0.8305,0.0026957434573120945,HETZK,0
0.8305,0.0026957434573120945,ASNS2,1.0
0.8305,0.0026957434573120945,ASPCT,1.0
0.8305,0.0026957434573120945,KDOPS,1.0
0.8305,0.0026957434573120945,KDOPP,1.0
0.8305,0.0026957434573120945,DMPPS,1.0
0.8305,0.0026957434573120945,IPDPS,1.0
0.8305,0.0026957434573120945,AST,0
0.8305,0.0026957434573120945,SGDS,0
0.8305,0.0026957434573120945,CYNTAH,0
0.8305,0.0026957434573120945,DHDPRy,1.0
0.8305,0.0026957434573120945,HSK,1.0
0.8305,0.0026957434573120945,GSPMDA,1.0
0.8305,0.0026957434573120945,GSPMDS,1.0
0.8305,0.0026957434573120945,GUAD,0.0
0.8305,0.0026957434573120945,THRS,1.0
0.8305,0.0026957434573120945,HSST,1.0
0.8305,0.0026957434573120945,PPNDH,1.0
0.8305,0.0026957434573120945,TMAOR1,0
0.8305,0.0026957434573120945,TMAOR2,0
0.8305,0.0026957434573120945,TRDR,1.0
0.8305,0.0026957434573120945,DDPA,1.0
0.8305,0.0026957434573120945,NMNDA,1.0
0.8305,0.0026957434573120945,NNAM,1.0
0.8305,0.0026957434573120945,P5CD,1.0
0.8305,0.0026957434573120945,FRUK,0
0.8305,0.0026957434573120945,SPMDAT1,0
0.8305,0.0026957434573120945,RHCCE,1.0
0.8305,0.0026957434573120945,KG6PDC,0
0.8305,0.0026957434573120945,SPMDAT2,0
0.8305,0.0026957434573120945,TDPADGAT,0
0.8305,0.0026957434573120945,MALS,1.0
0.8305,0.0026957434573120945,X5PL3E,0.0
0.8305,0.0026957434573120945,DOGULNR,0
0.8305,0.0026957434573120945,TRE6PP,0
0.8305,0.0026957434573120945,BETALDHx,0
0.8305,0.0026957434573120945,BETALDHy,0
0.8305,0.0026957434573120945,MLTG3,0
0.8305,0.0026957434573120945,ADPRDP,1.0
0.8305,0.0026957434573120945,NADTRHD,1.0
0.8305,0.0026957434573120945,FMNRx2,1.0
0.8305,0.0026957434573120945,GALS3,0
0.8305,0.0026957434573120945,FCLK,0
0.8305,0.0026957434573120945,GMPS2,1.0
0.8305,0.0026957434573120945,AMPN,1.0
0.8305,0.0026957434573120945,GSNK,1.0
0.8305,0.0026957434573120945,GALUi,0
0.8305,0.0026957434573120945,UAAGDS,1.0
0.8305,0.0026957434573120945,UAMAS,1.0
0.8305,0.0026957434573120945,UAMAGS,1.0
0.8305,0.0026957434573120945,UGLYCH,1.0
0.8305,0.0026957434573120945,NTPP3,1.0
0.8305,0.0026957434573120945,NTPP6,1.0
0.8305,0.0026957434573120945,NTPP7,1.0
0.8305,0.0026957434573120945,OP4ENH,0.0
0.8305,0.0026957434573120945,HOPNTAL,0
0.8305,0.0026957434573120945,NTPP8,1.0
0.8305,0.0026957434573120945,P5CR,1.0
0.8305,0.0026957434573120945,3HPPPNH,0
0.8305,0.0026957434573120945,G5SADs,1.0
0.8305,0.0026957434573120945,GMAND,0
0.8305,0.0026957434573120945,CYTD,1.0
0.8305,0.0026957434573120945,AKGDH,1.0
0.8305,0.0026957434573120945,HPYRRx,1.0
0.8305,0.0026957434573120945,GLYCDx,0.0
0.8305,0.0026957434573120945,ASP1DC,1.0
0.8305,0.0026957434573120945,UGMDDS,1.0
0.8305,0.0026957434573120945,DCYTD,1.0
0.8305,0.0026957434573120945,DBTS,1.0
0.8305,0.0026957434573120945,DCTPD,1.0
0.8305,0.0026957434573120945,UHGADA,1.0
0.8305,0.0026957434573120945,AMANK,0
0.8305,0.0026957434573120945,HISTD,1.0
0.8305,0.0026957434573120945,DHDPS,1.0
0.8305,0.0026957434573120945,G1PACT,1.0
0.8305,0.0026957434573120945,GART,1.0
0.8305,0.0026957434573120945,CSND,1.0
0.8305,0.0026957434573120945,GF6PTA,1.0
0.8305,0.0026957434573120945,IGPDH,1.0
0.8305,0.0026957434573120945,H2SO,1.0
0.8305,0.0026957434573120945,GLUCYS,1.0
0.8305,0.0026957434573120945,PRATPP,1.0
0.8305,0.0026957434573120945,GLUN,1.0
0.8305,0.0026957434573120945,GLUPRT,1.0
0.8305,0.0026957434573120945,GMPR,0.0
0.8305,0.0026957434573120945,CYSS,1.0
0.8305,0.0026957434573120945,NADS1,1.0
0.8305,0.0026957434573120945,BPNT,1.0
0.8305,0.0026957434573120945,PAPSR,1.0
0.8305,0.0026957434573120945,DAPDC,1.0
0.8305,0.0026957434573120945,NTRIR2x,0
0.8305,0.0026957434573120945,GPDDA1,0
0.8305,0.0026957434573120945,GPDDA2,1.0
0.8305,0.0026957434573120945,PPND,1.0
0.8305,0.0026957434573120945,METAT,1.0
0.8305,0.0026957434573120945,ASCBPL,0
0.8305,0.0026957434573120945,ACBIPGT,0.0
0.8305,0.0026957434573120945,TRPS1,1.0
0.8305,0.0026957434573120945,PRAMPC,1.0
0.8305,0.0026957434573120945,ADOCBLS,0
0.8305,0.0026957434573120945,ADOCBIK,0.0
0.8305,0.0026957434573120945,TMPK,1.0
0.8305,0.0026957434573120945,HPPPNDO,0
0.8305,0.0026957434573120945,DXYLK,0
0.8305,0.0026957434573120945,MDH3,0.0
0.8305,0.0026957434573120945,SOTA,0.0
0.8305,0.0026957434573120945,DHCINDO,0
0.8305,0.0026957434573120945,SGSAD,0
0.8305,0.0026957434573120945,HKNDDH,0
0.8305,0.0026957434573120945,HKNTDH,0
0.8305,0.0026957434573120945,GLYCK2,1.0
0.8305,0.0026957434573120945,PTA2,0.0
0.8305,0.0026957434573120945,MDH2,1.0
0.8305,0.0026957434573120945,GPDDA5,0
0.8305,0.0026957434573120945,PDX5PS,1.0
0.8305,0.0026957434573120945,PPBNGS,1.0
0.8305,0.0026957434573120945,ENTCS,0
0.8305,0.0026957434573120945,SULR,1.0
0.8305,0.0026957434573120945,MANPGH,0
0.8305,0.0026957434573120945,URDGLYCD,1.0
0.8305,0.0026957434573120945,PPNCL2,1.0
0.8305,0.0026957434573120945,PRFGS,1.0
0.8305,0.0026957434573120945,ACM6PH,1.0
0.8305,0.0026957434573120945,CYTDH,1.0
0.8305,0.0026957434573120945,ETHAAL,1.0
0.8305,0.0026957434573120945,MAN1PT2,0.0
0.8305,0.0026957434573120945,PSERT,0
0.8305,0.0026957434573120945,AP4AH,1.0
0.8305,0.0026957434573120945,AP5AH,0
0.8305,0.0026957434573120945,ADNCYC,1.0
0.8305,0.0026957434573120945,AIRC2,1.0
0.8305,0.0026957434573120945,MI1PP,0
0.8305,0.0026957434573120945,MCITS,0
0.8305,0.0026957434573120945,HEX1,1.0
0.8305,0.0026957434573120945,GND,1.0
0.8305,0.0026957434573120945,TAUDO,0
0.8305,0.0026957434573120945,NTP3,1.0
0.8305,0.0026957434573120945,MOAT2,1.0
0.8305,0.0026957434573120945,ME2,1.0
0.8305,0.0026957434573120945,CBPS,1.0
0.8305,0.0026957434573120945,GLU5K,1.0
0.8305,0.0026957434573120945,IPPS,1.0
0.8305,0.0026957434573120945,NADH5,1.0
0.8305,0.0026957434573120945,MOHMT,1.0
0.8305,0.0026957434573120945,MLTG2,0
0.8305,0.0026957434573120945,MLTG1,0
0.8305,0.0026957434573120945,AMALT3,0
0.8305,0.0026957434573120945,SPODM,1.0
0.8305,0.0026957434573120945,AHCYSNS,1.0
0.8305,0.0026957434573120945,ACNML,0
0.8305,0.0026957434573120945,TMK,0.0
0.8305,0.0026957434573120945,NTPP4,1.0
0.8305,0.0026957434573120945,GMPS,1.0
0.8305,0.0026957434573120945,CAT,1.0
0.8305,0.0026957434573120945,FTHFLi,1.0
0.8305,0.0026957434573120945,UDPGD,0
0.8305,0.0026957434573120945,GLCRD,0
0.8305,0.0026957434573120945,PPPNDO,0
0.8305,0.0026957434573120945,CHRPL,1.0
0.8305,0.0026957434573120945,TDPAGTA,0.0
0.8305,0.0026957434573120945,UACMAMO,0
0.8305,0.0026957434573120945,PMPK,1.0
0.8305,0.0026957434573120945,LCADi,1.0
0.8305,0.0026957434573120945,PSP_L,0
0.8305,0.0026957434573120945,GLUDC,1.0
0.8305,0.0026957434573120945,BSORy,0
0.8305,0.0026957434573120945,DMSOR2,0
0.8305,0.0026957434573120945,ADSK,1.0
0.8305,0.0026957434573120945,CYSTL,1.0
0.8305,0.0026957434573120945,ACMAMUT,0
0.8305,0.0026957434573120945,SHSL1,1.0
0.8305,0.0026957434573120945,SSALy,0
0.8305,0.0026957434573120945,DDGALK,0
0.8305,0.0026957434573120945,AB6PGH,0
0.8305,0.0026957434573120945,AMALT1,0
0.8305,0.0026957434573120945,3HCINNMH,0
0.8305,0.0026957434573120945,BSORx,0
0.8305,0.0026957434573120945,PACCOAL,1.0
0.8305,0.0026957434573120945,GP4GH,0
0.8305,0.0026957434573120945,ACGAMT,0.0
0.8305,0.0026957434573120945,AADDGT,0
0.8305,0.0026957434573120945,SPODMpp,0
0.8305,0.0026957434573120945,PHYTSpp,0
0.8305,0.0026957434573120945,PPTHpp,0
0.8305,0.0026957434573120945,NTP3pp,0
0.8305,0.0026957434573120945,GMHEPK,0
0.8305,0.0026957434573120945,GTPCI,1.0
0.8305,0.0026957434573120945,FDMO,0
0.8305,0.0026957434573120945,CHOLD,0.0
0.8305,0.0026957434573120945,TRE6PS,0
0.8305,0.0026957434573120945,DRPA,1.0
0.8305,0.0026957434573120945,UDCPDP,1.0
0.8305,0.0026957434573120945,TREH,0
0.8305,0.0026957434573120945,NTD8pp,0
0.8305,0.0026957434573120945,DHFS,1.0
0.8305,0.0026957434573120945,TREHpp,0
0.8305,0.0026957434573120945,ACGAMK,1.0
0.8305,0.0026957434573120945,METS,1.0
0.8305,0.0026957434573120945,ASPO3,1.0
0.8305,0.0026957434573120945,ASPO5,1.0
0.8305,0.0026957434573120945,ASPO4,0.0
0.8305,0.0026957434573120945,ASPO6,1.0
0.8305,0.0026957434573120945,GLYOX3,1.0
0.8305,0.0026957434573120945,FDMO3,0
0.8305,0.0026957434573120945,O16GLCT1,0
0.8305,0.0026957434573120945,O16AP2pp,0
0.8305,0.0026957434573120945,O16AP3pp,0
0.8305,0.0026957434573120945,O16A4Lpp,0
0.8305,0.0026957434573120945,PRASCSi,1.0
0.8305,0.0026957434573120945,DHBSH,0
0.8305,0.0026957434573120945,MALDDH,0
0.8305,0.0026957434573120945,ENTERES,0
0.8305,0.0026957434573120945,DHPS2,1.0
0.8305,0.0026957434573120945,LYXI,0.0
0.8305,0.0026957434573120945,QULNS,1.0
0.8305,0.0026957434573120945,ALKP,1.0
0.8305,0.0026957434573120945,L_LACD3,1.0
0.8305,0.0026957434573120945,L_LACD2,1.0
0.8305,0.0026957434573120945,GGGABAH,1.0
0.8305,0.0026957434573120945,FDMO6,0
0.8305,0.0026957434573120945,DATPHs,1.0
0.8305,0.0026957434573120945,GLCTR1,0
0.8305,0.0026957434573120945,ECAP1pp,0
0.8305,0.0026957434573120945,UDCPDPpp,0
