max_growth,k_val,rxns,Z
0.84777,0.146727107,CYTDK2,1
0.84777,0.146727107,XPPT,1
0.84777,0.146727107,HXPRT,1
0.84777,0.146727107,OMPDC,1
0.84777,0.146727107,G5SD,1
0.84777,0.146727107,CS,1
0.84777,0.146727107,ALATA_L2,0
0.84777,0.146727107,PTRCTA,0
0.84777,0.146727107,ACS,1
0.84777,0.146727107,CYSDS,1
0.84777,0.146727107,PPA,1
0.84777,0.146727107,APRAUR,1
0.84777,0.146727107,PPCK,0
0.84777,0.146727107,ME1,1
0.84777,0.146727107,DB4PS,1
0.84777,0.146727107,RBFK,1
0.84777,0.146727107,XYLK,0
0.84777,0.146727107,RBK,1
0.84777,0.146727107,GLYK,1
0.84777,0.146727107,ACP1_FMN,1
0.84777,0.146727107,RBFSb,1
0.84777,0.146727107,NDP3,1
0.84777,0.146727107,CDPPH,1
0.84777,0.146727107,NDP7,1
0.84777,0.146727107,FBP,1
0.84777,0.146727107,GLGC,1
0.84777,0.146727107,ALATA_D2,0
0.84777,0.146727107,PYK,1
0.84777,0.146727107,PMDPHT,1
0.84777,0.146727107,CPPPGO,0
0.84777,0.146727107,DHORD5,1
0.84777,0.146727107,GLYCTO2,1
0.84777,0.146727107,GLYCTO3,0
0.84777,0.146727107,GLYCTO4,1
0.84777,0.146727107,RBFSa,1
0.84777,0.146727107,ACHBS,1
0.84777,0.146727107,PFK_3,1
0.84777,0.146727107,DHAD2,1
0.84777,0.146727107,ACLS,1
0.84777,0.146727107,TRPS2,1
0.84777,0.146727107,G3PD5,1
0.84777,0.146727107,G1PP,0
0.84777,0.146727107,PFL,1
0.84777,0.146727107,ANS,1
0.84777,0.146727107,FRD2,1
0.84777,0.146727107,FRD3,1
0.84777,0.146727107,ANPRT,1
0.84777,0.146727107,POX,1
0.84777,0.146727107,CHORM,1
0.84777,0.146727107,CHORS,1
0.84777,0.146727107,IGPS,1
0.84777,0.146727107,LEUTAi,1
0.84777,0.146727107,DMATT,1
0.84777,0.146727107,GRTT,1
0.84777,0.146727107,UPP3S,1
0.84777,0.146727107,UPPDC1,1
0.84777,0.146727107,MOAT,1
0.84777,0.146727107,UDCPDPS,1
0.84777,0.146727107,USHD,1
0.84777,0.146727107,MGSA,1
0.84777,0.146727107,IMPD,1
0.84777,0.146727107,PPS,1
0.84777,0.146727107,LPADSS,1
0.84777,0.146727107,TDSK,1
0.84777,0.146727107,TMPPP,1
0.84777,0.146727107,EDA,1
0.84777,0.146727107,NTPP1,1
0.84777,0.146727107,URIK1,1
0.84777,0.146727107,URIK2,0
0.84777,0.146727107,NTPP2,1
0.84777,0.146727107,PGL,1
0.84777,0.146727107,NTPTP1,0
0.84777,0.146727107,NTPTP2,0
0.84777,0.146727107,CYTDK1,1
0.84777,0.146727107,DHQTi,1
0.84777,0.146727107,IPMD,1
0.84777,0.146727107,G6PDA,0
0.84777,0.146727107,RNDR1,1
0.84777,0.146727107,RNDR3,1
0.84777,0.146727107,RNDR4,1
0.84777,0.146727107,ALDD2y,1
0.84777,0.146727107,TMDS,1
0.84777,0.146727107,TMDK1,0
0.84777,0.146727107,PPCDC,1
0.84777,0.146727107,FTHFD,1
0.84777,0.146727107,DHAD1,1
0.84777,0.146727107,G3PD7,1
0.84777,0.146727107,EDD,1
0.84777,0.146727107,NADH9,1
0.84777,0.146727107,NADH10,1
0.84777,0.146727107,INSK,1
0.84777,0.146727107,ABTA,0
0.84777,0.146727107,FMNAT,1
0.84777,0.146727107,PYDXNK,0
0.84777,0.146727107,PYAM5PO,0
0.84777,0.146727107,SSALx,0
0.84777,0.146727107,ASPT,1
0.84777,0.146727107,SERD_L,1
0.84777,0.146727107,NADDP,1
0.84777,0.146727107,THRD,0
0.84777,0.146727107,HEX4,1
0.84777,0.146727107,NMNAT,1
0.84777,0.146727107,HMPK1,0
0.84777,0.146727107,ACCOAC,1
0.84777,0.146727107,NADK,1
0.84777,0.146727107,GLXCL,1
0.84777,0.146727107,SUCBZS,0
0.84777,0.146727107,ICHORT,0
0.84777,0.146727107,RBK_L1,0
0.84777,0.146727107,TARTD,0
0.84777,0.146727107,NTD2,1
0.84777,0.146727107,GLCRAL,0
0.84777,0.146727107,NTD4,1
0.84777,0.146727107,NTD5,1
0.84777,0.146727107,HEMEOS,0
0.84777,0.146727107,ADMDC,0
0.84777,0.146727107,AGMT,1
0.84777,0.146727107,NTD6,1
0.84777,0.146727107,LGTHL,0
0.84777,0.146727107,PYDXPP,1
0.84777,0.146727107,PDXPP,0
0.84777,0.146727107,ARGDC,1
0.84777,0.146727107,ARGSS,1
0.84777,0.146727107,SPMS,0
0.84777,0.146727107,DXPS,1
0.84777,0.146727107,OAADC,1
0.84777,0.146727107,MNNH,0
0.84777,0.146727107,CDPMEK,1
0.84777,0.146727107,ALTRH,0
0.84777,0.146727107,DDGLK,0
0.84777,0.146727107,ICL,1
0.84777,0.146727107,UAGDP,1
0.84777,0.146727107,UAGCVT,1
0.84777,0.146727107,GLYCL,1
0.84777,0.146727107,CMPN,1
0.84777,0.146727107,NNDPR,1
0.84777,0.146727107,HCYSMT,1
0.84777,0.146727107,DMQMT,0
0.84777,0.146727107,LACZ,0
0.84777,0.146727107,TRE6PH,0
0.84777,0.146727107,PPC,1
0.84777,0.146727107,ICHORS_copy1,0
0.84777,0.146727107,G3PT,1
0.84777,0.146727107,CINNDO,0
0.84777,0.146727107,DHPPD,0
0.84777,0.146727107,DHCIND,0
0.84777,0.146727107,CITL,1
0.84777,0.146727107,GOFUCR,0
0.84777,0.146727107,PYDXK,1
0.84777,0.146727107,DNMPPA,1
0.84777,0.146727107,HPPK2,1
0.84777,0.146727107,PTPATi,1
0.84777,0.146727107,HEX7,1
0.84777,0.146727107,DXPRIi,1
0.84777,0.146727107,GTPCII2,1
0.84777,0.146727107,URIC,1
0.84777,0.146727107,SADT2,1
0.84777,0.146727107,OPHBDC,1
0.84777,0.146727107,OHPHM,0
0.84777,0.146727107,DHORD2,1
0.84777,0.146727107,PFK_2,0
0.84777,0.146727107,ACACCT,0
0.84777,0.146727107,SDPDS,1
0.84777,0.146727107,DMSOR1,0
0.84777,0.146727107,PGLYCP,0
0.84777,0.146727107,DKGLCNR2y,0
0.84777,0.146727107,G1PTT,0
0.84777,0.146727107,TDPGDH,0
0.84777,0.146727107,ADCS,1
0.84777,0.146727107,ADCL,1
0.84777,0.146727107,DHAPT,1
0.84777,0.146727107,UDPGALM,0
0.84777,0.146727107,TDPDRE,0
0.84777,0.146727107,TDPDRR,0
0.84777,0.146727107,RZ5PP,0
0.84777,0.146727107,DURIK1,1
0.84777,0.146727107,G3PD6,0
0.84777,0.146727107,ALLTN,1
0.84777,0.146727107,UAPGR,1
0.84777,0.146727107,UPPRT,0
0.84777,0.146727107,NTD9,1
0.84777,0.146727107,CTPS2,1
0.84777,0.146727107,NTD1,1
0.84777,0.146727107,NTD7,1
0.84777,0.146727107,PAPPT3,1
0.84777,0.146727107,UAGPT3,1
0.84777,0.146727107,AOBUTDs,0
0.84777,0.146727107,ADNUC,1
0.84777,0.146727107,GMHEPPA,0
0.84777,0.146727107,S7PI,0
0.84777,0.146727107,TRPS3,1
0.84777,0.146727107,AGMHE,0
0.84777,0.146727107,NTD10,1
0.84777,0.146727107,GMHEPAT,0
0.84777,0.146727107,ADPT,1
0.84777,0.146727107,IDOND2,0
0.84777,0.146727107,FADRx,1
0.84777,0.146727107,GTPDPK,0
0.84777,0.146727107,NADN,1
0.84777,0.146727107,GLYCLTDx,1
0.84777,0.146727107,HPYRRy,1
0.84777,0.146727107,ACODA,1
0.84777,0.146727107,ADA,1
0.84777,0.146727107,DADA,1
0.84777,0.146727107,ADD,1
0.84777,0.146727107,HBZOPT,1
0.84777,0.146727107,PNTK,1
0.84777,0.146727107,ADSS,1
0.84777,0.146727107,AGDC,1
0.84777,0.146727107,OCTDPS,1
0.84777,0.146727107,ASNN,1
0.84777,0.146727107,DPCOAK,1
0.84777,0.146727107,HETZK,0
0.84777,0.146727107,ASNS2,1
0.84777,0.146727107,ASPCT,1
0.84777,0.146727107,KDOPS,1
0.84777,0.146727107,KDOPP,1
0.84777,0.146727107,DMPPS,1
0.84777,0.146727107,IPDPS,1
0.84777,0.146727107,AST,0
0.84777,0.146727107,SGDS,0
0.84777,0.146727107,CYNTAH,0
0.84777,0.146727107,DHDPRy,1
0.84777,0.146727107,HSK,1
0.84777,0.146727107,GSPMDA,1
0.84777,0.146727107,GSPMDS,1
0.84777,0.146727107,GUAD,0
0.84777,0.146727107,THRS,1
0.84777,0.146727107,HSST,1
0.84777,0.146727107,PPNDH,1
0.84777,0.146727107,TMAOR1,0
0.84777,0.146727107,TMAOR2,0
0.84777,0.146727107,TRDR,0
0.84777,0.146727107,DDPA,1
0.84777,0.146727107,NMNDA,1
0.84777,0.146727107,NNAM,1
0.84777,0.146727107,P5CD,1
0.84777,0.146727107,FRUK,0
0.84777,0.146727107,SPMDAT1,0
0.84777,0.146727107,RHCCE,1
0.84777,0.146727107,KG6PDC,0
0.84777,0.146727107,SPMDAT2,0
0.84777,0.146727107,TDPADGAT,0
0.84777,0.146727107,MALS,1
0.84777,0.146727107,X5PL3E,0
0.84777,0.146727107,DOGULNR,0
0.84777,0.146727107,TRE6PP,0
0.84777,0.146727107,BETALDHx,0
0.84777,0.146727107,BETALDHy,0
0.84777,0.146727107,MLTG3,0
0.84777,0.146727107,ADPRDP,1
0.84777,0.146727107,NADTRHD,0
0.84777,0.146727107,FMNRx2,1
0.84777,0.146727107,GALS3,0
0.84777,0.146727107,FCLK,0
0.84777,0.146727107,GMPS2,1
0.84777,0.146727107,AMPN,1
0.84777,0.146727107,GSNK,1
0.84777,0.146727107,GALUi,0
0.84777,0.146727107,UAAGDS,1
0.84777,0.146727107,UAMAS,1
0.84777,0.146727107,UAMAGS,1
0.84777,0.146727107,UGLYCH,1
0.84777,0.146727107,NTPP3,1
0.84777,0.146727107,NTPP6,1
0.84777,0.146727107,NTPP7,1
0.84777,0.146727107,OP4ENH,0
0.84777,0.146727107,HOPNTAL,0
0.84777,0.146727107,NTPP8,1
0.84777,0.146727107,P5CR,1
0.84777,0.146727107,3HPPPNH,0
0.84777,0.146727107,G5SADs,1
0.84777,0.146727107,GMAND,0
0.84777,0.146727107,CYTD,1
0.84777,0.146727107,AKGDH,1
0.84777,0.146727107,HPYRRx,0
0.84777,0.146727107,GLYCDx,0
0.84777,0.146727107,ASP1DC,1
0.84777,0.146727107,UGMDDS,1
0.84777,0.146727107,DCYTD,1
0.84777,0.146727107,DBTS,1
0.84777,0.146727107,DCTPD,1
0.84777,0.146727107,UHGADA,1
0.84777,0.146727107,AMANK,0
0.84777,0.146727107,HISTD,1
0.84777,0.146727107,DHDPS,1
0.84777,0.146727107,G1PACT,1
0.84777,0.146727107,GART,1
0.84777,0.146727107,CSND,1
0.84777,0.146727107,GF6PTA,1
0.84777,0.146727107,IGPDH,1
0.84777,0.146727107,H2SO,1
0.84777,0.146727107,GLUCYS,1
0.84777,0.146727107,PRATPP,1
0.84777,0.146727107,GLUN,1
0.84777,0.146727107,GLUPRT,1
0.84777,0.146727107,GMPR,0
0.84777,0.146727107,CYSS,1
0.84777,0.146727107,NADS1,1
0.84777,0.146727107,BPNT,1
0.84777,0.146727107,PAPSR,1
