max_growth,k_val,rxns,Z
0.7432,0.0025989847707244326,CYTDK2,1.0
0.7432,0.0025989847707244326,XPPT,1.0
0.7432,0.0025989847707244326,HXPRT,1.0
0.7432,0.0025989847707244326,OMPDC,1.0
0.7432,0.0025989847707244326,G5SD,1.0
0.7432,0.0025989847707244326,CS,1.0
0.7432,0.0025989847707244326,ALATA_L2,0.0
0.7432,0.0025989847707244326,PTRCTA,0.0
0.7432,0.0025989847707244326,ACS,1.0
0.7432,0.0025989847707244326,CYSDS,1.0
0.7432,0.0025989847707244326,PPA,1.0
0.7432,0.0025989847707244326,APRAUR,1.0
0.7432,0.0025989847707244326,PPCK,1.0
0.7432,0.0025989847707244326,ME1,1.0
0.7432,0.0025989847707244326,DB4PS,1.0
0.7432,0.0025989847707244326,RBFK,1.0
0.7432,0.0025989847707244326,XYLK,0
0.7432,0.0025989847707244326,RBK,1.0
0.7432,0.0025989847707244326,GLYK,1.0
0.7432,0.0025989847707244326,ACP1_FMN,1.0
0.7432,0.0025989847707244326,RBFSb,1.0
0.7432,0.0025989847707244326,NDP3,1.0
0.7432,0.0025989847707244326,CDPPH,1.0
0.7432,0.0025989847707244326,NDP7,1.0
0.7432,0.0025989847707244326,FBP,1.0
0.7432,0.0025989847707244326,GLGC,1.0
0.7432,0.0025989847707244326,ALATA_D2,0.0
0.7432,0.0025989847707244326,PYK,1.0
0.7432,0.0025989847707244326,PMDPHT,1.0
0.7432,0.0025989847707244326,CPPPGO,1.0
0.7432,0.0025989847707244326,DHORD5,1.0
0.7432,0.0025989847707244326,GLYCTO2,1.0
0.7432,0.0025989847707244326,GLYCTO3,0.0
0.7432,0.0025989847707244326,GLYCTO4,1.0
0.7432,0.0025989847707244326,RBFSa,1.0
0.7432,0.0025989847707244326,ACHBS,1.0
0.7432,0.0025989847707244326,PFK_3,1.0
0.7432,0.0025989847707244326,DHAD2,1.0
0.7432,0.0025989847707244326,ACLS,1.0
0.7432,0.0025989847707244326,TRPS2,1.0
0.7432,0.0025989847707244326,G3PD5,1.0
0.7432,0.0025989847707244326,G1PP,0
0.7432,0.0025989847707244326,PFL,1.0
0.7432,0.0025989847707244326,ANS,1.0
0.7432,0.0025989847707244326,FRD2,1.0
0.7432,0.0025989847707244326,FRD3,1.0
0.7432,0.0025989847707244326,ANPRT,1.0
0.7432,0.0025989847707244326,POX,1.0
0.7432,0.0025989847707244326,CHORM,1.0
0.7432,0.0025989847707244326,CHORS,1.0
0.7432,0.0025989847707244326,IGPS,1.0
0.7432,0.0025989847707244326,LEUTAi,1.0
0.7432,0.0025989847707244326,DMATT,1.0
0.7432,0.0025989847707244326,GRTT,1.0
0.7432,0.0025989847707244326,UPP3S,1.0
0.7432,0.0025989847707244326,UPPDC1,1.0
0.7432,0.0025989847707244326,MOAT,1.0
0.7432,0.0025989847707244326,UDCPDPS,1.0
0.7432,0.0025989847707244326,USHD,1.0
0.7432,0.0025989847707244326,MGSA,1.0
0.7432,0.0025989847707244326,IMPD,1.0
0.7432,0.0025989847707244326,PPS,1.0
0.7432,0.0025989847707244326,LPADSS,1.0
0.7432,0.0025989847707244326,TDSK,1.0
0.7432,0.0025989847707244326,TMPPP,1.0
0.7432,0.0025989847707244326,EDA,1.0
0.7432,0.0025989847707244326,NTPP1,1.0
0.7432,0.0025989847707244326,URIK1,1.0
0.7432,0.0025989847707244326,URIK2,1.0
0.7432,0.0025989847707244326,NTPP2,1.0
0.7432,0.0025989847707244326,PGL,1.0
0.7432,0.0025989847707244326,NTPTP1,0.0
0.7432,0.0025989847707244326,NTPTP2,0.0
0.7432,0.0025989847707244326,CYTDK1,1.0
