max_growth,k_val,rxns,Z
0.87699,0.164259819,ADCL,1
0.87699,0.164259819,DHAPT,1
0.87699,0.164259819,UDPGALM,0
0.87699,0.164259819,TDPDRE,0
0.87699,0.164259819,TDPDRR,0
0.87699,0.164259819,RZ5PP,0
0.87699,0.164259819,DURIK1,1
0.87699,0.164259819,G3PD6,0
0.87699,0.164259819,ALLTN,1
0.87699,0.164259819,UAPGR,1
0.87699,0.164259819,UPPRT,1
0.87699,0.164259819,NTD9,1
0.87699,0.164259819,CTPS2,1
0.87699,0.164259819,NTD1,1
0.87699,0.164259819,NTD7,1
0.87699,0.164259819,PAPPT3,1
0.87699,0.164259819,UAGPT3,1
0.87699,0.164259819,AOBUTDs,0
0.87699,0.164259819,ADNUC,1
0.87699,0.164259819,GMHEPPA,0
0.87699,0.164259819,S7PI,0
0.87699,0.164259819,TRPS3,1
0.87699,0.164259819,AGMHE,0
0.87699,0.164259819,NTD10,1
0.87699,0.164259819,GMHEPAT,0
0.87699,0.164259819,ADPT,1
0.87699,0.164259819,IDOND2,1
0.87699,0.164259819,FADRx,1
0.87699,0.164259819,GTPDPK,1
0.87699,0.164259819,NADN,1
0.87699,0.164259819,GLYCLTDx,1
0.87699,0.164259819,HPYRRy,1
0.87699,0.164259819,ACODA,1
0.87699,0.164259819,ADA,1
0.87699,0.164259819,DADA,1
0.87699,0.164259819,ADD,1
0.87699,0.164259819,HBZOPT,1
0.87699,0.164259819,PNTK,1
0.87699,0.164259819,ADSS,1
0.87699,0.164259819,AGDC,1
0.87699,0.164259819,OCTDPS,1
0.87699,0.164259819,ASNN,1
0.87699,0.164259819,DPCOAK,1
0.87699,0.164259819,HETZK,0
0.87699,0.164259819,ASNS2,1
0.87699,0.164259819,ASPCT,1
0.87699,0.164259819,KDOPS,1
0.87699,0.164259819,KDOPP,1
0.87699,0.164259819,DMPPS,1
0.87699,0.164259819,IPDPS,1
0.87699,0.164259819,AST,0
0.87699,0.164259819,SGDS,0
0.87699,0.164259819,CYNTAH,0
0.87699,0.164259819,DHDPRy,1
0.87699,0.164259819,HSK,1
0.87699,0.164259819,GSPMDA,1
0.87699,0.164259819,GSPMDS,1
0.87699,0.164259819,GUAD,0
0.87699,0.164259819,THRS,1
0.87699,0.164259819,HSST,1
0.87699,0.164259819,PPNDH,1
0.87699,0.164259819,TMAOR1,0
0.87699,0.164259819,TMAOR2,0
0.87699,0.164259819,TRDR,1
0.87699,0.164259819,DDPA,1
0.87699,0.164259819,NMNDA,1
0.87699,0.164259819,NNAM,0
0.87699,0.164259819,P5CD,1
0.87699,0.164259819,FRUK,0
0.87699,0.164259819,SPMDAT1,0
0.87699,0.164259819,RHCCE,1
0.87699,0.164259819,KG6PDC,0
0.87699,0.164259819,SPMDAT2,0
0.87699,0.164259819,TDPADGAT,0
0.87699,0.164259819,MALS,1
0.87699,0.164259819,X5PL3E,0
0.87699,0.164259819,DOGULNR,0
0.87699,0.164259819,TRE6PP,1
0.87699,0.164259819,BETALDHx,0
0.87699,0.164259819,BETALDHy,0
0.87699,0.164259819,MLTG3,0
0.87699,0.164259819,ADPRDP,1
0.87699,0.164259819,NADTRHD,1
0.87699,0.164259819,FMNRx2,1
0.87699,0.164259819,GALS3,0
0.87699,0.164259819,FCLK,0
0.87699,0.164259819,GMPS2,1
0.87699,0.164259819,AMPN,1
0.87699,0.164259819,GSNK,1
0.87699,0.164259819,GALUi,1
0.87699,0.164259819,UAAGDS,1
0.87699,0.164259819,UAMAS,1
0.87699,0.164259819,UAMAGS,1
0.87699,0.164259819,UGLYCH,1
0.87699,0.164259819,NTPP3,1
0.87699,0.164259819,NTPP6,1
0.87699,0.164259819,NTPP7,1
0.87699,0.164259819,OP4ENH,0
0.87699,0.164259819,HOPNTAL,0
0.87699,0.164259819,NTPP8,1
0.87699,0.164259819,P5CR,1
0.87699,0.164259819,3HPPPNH,0
0.87699,0.164259819,G5SADs,1
0.87699,0.164259819,GMAND,0
0.87699,0.164259819,CYTD,1
0.87699,0.164259819,AKGDH,1
0.87699,0.164259819,HPYRRx,1
0.87699,0.164259819,GLYCDx,0
0.87699,0.164259819,ASP1DC,1
0.87699,0.164259819,UGMDDS,1
0.87699,0.164259819,DCYTD,1
0.87699,0.164259819,DBTS,1
0.87699,0.164259819,DCTPD,1
0.87699,0.164259819,UHGADA,1
0.87699,0.164259819,AMANK,0
0.87699,0.164259819,HISTD,1
0.87699,0.164259819,DHDPS,1
0.87699,0.164259819,G1PACT,1
0.87699,0.164259819,GART,1
0.87699,0.164259819,CSND,1
0.87699,0.164259819,GF6PTA,1
0.87699,0.164259819,IGPDH,1
0.87699,0.164259819,H2SO,1
0.87699,0.164259819,GLUCYS,1
0.87699,0.164259819,PRATPP,1
0.87699,0.164259819,GLUN,1
0.87699,0.164259819,GLUPRT,1
0.87699,0.164259819,GMPR,0
0.87699,0.164259819,CYSS,1
0.87699,0.164259819,NADS1,1
0.87699,0.164259819,BPNT,1
0.87699,0.164259819,PAPSR,1
0.87699,0.164259819,DAPDC,1
0.87699,0.164259819,NTRIR2x,0
0.87699,0.164259819,GPDDA1,0
0.87699,0.164259819,GPDDA2,1
0.87699,0.164259819,PPND,1
0.87699,0.164259819,METAT,1
0.87699,0.164259819,ASCBPL,0
0.87699,0.164259819,ACBIPGT,0
0.87699,0.164259819,TRPS1,1
0.87699,0.164259819,PRAMPC,1
0.87699,0.164259819,ADOCBLS,0
0.87699,0.164259819,ADOCBIK,0
0.87699,0.164259819,TMPK,1
0.87699,0.164259819,HPPPNDO,0
0.87699,0.164259819,DXYLK,0
0.87699,0.164259819,MDH3,1
0.87699,0.164259819,SOTA,0
0.87699,0.164259819,DHCINDO,0
0.87699,0.164259819,SGSAD,0
0.87699,0.164259819,HKNDDH,0
0.87699,0.164259819,HKNTDH,0
0.87699,0.164259819,GLYCK2,1
0.87699,0.164259819,PTA2,0
0.87699,0.164259819,MDH2,1
0.87699,0.164259819,GPDDA5,0
0.87699,0.164259819,PDX5PS,1
0.87699,0.164259819,PPBNGS,1
0.87699,0.164259819,ENTCS,0
0.87699,0.164259819,SULR,1
0.87699,0.164259819,MANPGH,0
0.87699,0.164259819,URDGLYCD,1
0.87699,0.164259819,PPNCL2,1
0.87699,0.164259819,PRFGS,1
0.87699,0.164259819,ACM6PH,1
0.87699,0.164259819,CYTDH,1
0.87699,0.164259819,ETHAAL,1
0.87699,0.164259819,MAN1PT2,0
0.87699,0.164259819,PSERT,1
0.87699,0.164259819,AP4AH,1
0.87699,0.164259819,AP5AH,0
0.87699,0.164259819,ADNCYC,1
0.87699,0.164259819,AIRC2,1
0.87699,0.164259819,MI1PP,0
0.87699,0.164259819,MCITS,0
0.87699,0.164259819,HEX1,1
0.87699,0.164259819,GND,1
0.87699,0.164259819,TAUDO,0
