max_growth,k_val,rxns,Z
0.80446,0.146107889,CYTDK2,1
0.80446,0.146107889,XPPT,1
0.80446,0.146107889,HXPRT,1
0.80446,0.146107889,OMPDC,1
0.80446,0.146107889,G5SD,1
0.80446,0.146107889,CS,1
0.80446,0.146107889,ALATA_L2,1
0.80446,0.146107889,PTRCTA,0
0.80446,0.146107889,ACS,1
0.80446,0.146107889,CYSDS,1
0.80446,0.146107889,PPA,1
0.80446,0.146107889,APRAUR,1
0.80446,0.146107889,PPCK,1
0.80446,0.146107889,ME1,1
0.80446,0.146107889,DB4PS,1
0.80446,0.146107889,RBFK,1
0.80446,0.146107889,XYLK,0
0.80446,0.146107889,RBK,1
0.80446,0.146107889,GLYK,1
0.80446,0.146107889,ACP1_FMN,1
0.80446,0.146107889,RBFSb,1
0.80446,0.146107889,NDP3,1
0.80446,0.146107889,CDPPH,1
0.80446,0.146107889,NDP7,1
0.80446,0.146107889,FBP,1
0.80446,0.146107889,GLGC,1
0.80446,0.146107889,ALATA_D2,1
0.80446,0.146107889,PYK,1
0.80446,0.146107889,PMDPHT,1
0.80446,0.146107889,CPPPGO,1
0.80446,0.146107889,DHORD5,1
0.80446,0.146107889,GLYCTO2,1
0.80446,0.146107889,GLYCTO3,0
0.80446,0.146107889,GLYCTO4,1
0.80446,0.146107889,RBFSa,1
0.80446,0.146107889,ACHBS,1
0.80446,0.146107889,PFK_3,1
0.80446,0.146107889,DHAD2,1
0.80446,0.146107889,ACLS,1
0.80446,0.146107889,TRPS2,1
0.80446,0.146107889,G3PD5,1
0.80446,0.146107889,G1PP,0
0.80446,0.146107889,PFL,1
0.80446,0.146107889,ANS,1
0.80446,0.146107889,FRD2,1
0.80446,0.146107889,FRD3,1
0.80446,0.146107889,ANPRT,1
0.80446,0.146107889,POX,1
0.80446,0.146107889,CHORM,1
0.80446,0.146107889,CHORS,1
0.80446,0.146107889,IGPS,1
0.80446,0.146107889,LEUTAi,1
0.80446,0.146107889,DMATT,1
0.80446,0.146107889,GRTT,1
0.80446,0.146107889,UPP3S,1
0.80446,0.146107889,UPPDC1,1
0.80446,0.146107889,MOAT,1
