max_growth,k_val,MDF
0.0,0.1456,0.01
1.460521941079383e-13,0.1457,0.01
0.6930966574383519,0.1458,0.01
0.7173907764040758,0.1459,0.01
0.7173912279105136,0.146,0.01
0.8026304123630468,0.1461,0.01
0.8044672587886671,0.1462,0.01
0.804467258788668,0.1463,0.01
0.8188311335181725,0.1464,0.01
0.8230184175847977,0.1465,0.01
0.8248554973792388,0.1466,0.01
0.8459832351361922,0.1467,0.01
0.8477741993892433,0.1468,0.01
0.8477741993892357,0.1469,0.01
0.8477741993893287,0.147,0.01
0.8477762741103582,0.1471,0.01
0.8477762741103299,0.1472,0.01
0.8477762741103543,0.1473,0.01
0.8477741993892417,0.1474,0.01
0.8477762741103434,0.1475,0.01
0.847899391380107,0.1476,0.01
0.84789939138011,0.1477,0.01
0.8478993913801063,0.1478,0.01
0.8478993913801144,0.1479,0.01
0.8494862354734058,0.148,0.01
0.8494862354734054,0.1481,0.01
0.8494862354734077,0.1482,0.01
0.8494862354734027,0.1483,0.01
0.8593109530446923,0.1484,0.01
0.8636266935129352,0.1485,0.01
0.8636273381432017,0.1486,0.01
0.8654938697270926,0.1487,0.01
0.8654938697270956,0.1488,0.01
0.8654938697270846,0.1489,0.01
0.8654960320838678,0.149,0.01
0.8654938697271093,0.1491,0.01
0.8654960320838473,0.1492,0.01
0.8654953846609015,0.1493,0.01
0.8654938697271137,0.1494,0.01
0.8654960320838545,0.1495,0.01
0.8654960320838577,0.1496,0.01
0.8656243501897024,0.1497,0.01
0.865624350189713,0.1498,0.01
0.865624350189702,0.1499,0.01
0.8656243501897084,0.15,0.01
0.865626513198514,0.1501,0.01
0.8672782969784695,0.1502,0.01
0.8672782969784674,0.1503,0.01
0.8672782969784611,0.1504,0.01
0.8672782969784671,0.1505,0.01
0.8696192537720009,0.1506,0.01
0.8696192537720053,0.1507,0.01
0.8696192537720017,0.1508,0.01
0.870703540056557,0.1509,0.01
0.8707481322413453,0.151,0.01
0.8707481322413618,0.1511,0.01
0.8707035400565482,0.1512,0.01
0.8707503209324381,0.1513,0.01
0.8707503209324324,0.1514,0.01
0.8707503209324373,0.1515,0.01
0.870750320932441,0.1516,0.01
0.8707503274367401,0.1517,0.01
0.8707503209324376,0.1518,0.01
0.8707481322413528,0.1519,0.01
0.8707503274367396,0.152,0.01
0.8707481322413653,0.1521,0.01
0.8707503209324376,0.1522,0.01
0.8707481322413668,0.1523,0.01
0.870750320932434,0.1524,0.01
0.8707503209324347,0.1525,0.01
0.8707511368161962,0.1526,0.01
0.870750327436733,0.1527,0.01
0.8707511368161871,0.1528,0.01
0.8707511433205054,0.1529,0.01
0.8709792698318055,0.153,0.01
0.8709792698317955,0.1531,0.01
0.8709792698318037,0.1532,0.01
0.8709792698318055,0.1533,0.01
0.8709792698318002,0.1534,0.01
0.8709792698318023,0.1535,0.01
0.8709792763395097,0.1536,0.01
0.8709792698317947,0.1537,0.01
0.8709814596849917,0.1538,0.01
0.8709814596849904,0.1539,0.01
0.8709814596849967,0.154,0.01
0.8709814596849932,0.1541,0.01
0.8709814596849914,0.1542,0.01
0.8709814596849941,0.1543,0.01
0.8709792698317976,0.1544,0.01
0.8709800861446585,0.1545,0.01
0.8709814596849851,0.1546,0.01
0.8709792698317971,0.1547,0.01
0.8709822760019579,0.1548,0.01
0.870982276001957,0.1549,0.01
0.8709822760019593,0.155,0.01
0.8709822760019544,0.1551,0.01
0.8709814661927384,0.1552,0.01
0.8709814596849856,0.1553,0.01
0.8714671334407266,0.1554,0.01
0.8714671334407266,0.1555,0.01
0.8715118038751304,0.1556,0.01
0.871513996406994,0.1557,0.01
0.8715139964069805,0.1558,0.01
0.871513996406978,0.1559,0.01
0.871513996406987,0.156,0.01
0.8715139964069892,0.1561,0.01
0.8715139964069918,0.1562,0.01
0.8726456044447981,0.1563,0.01
0.8726456044448181,0.1564,0.01
0.8726456044447914,0.1565,0.01
0.8726478026851541,0.1566,0.01
0.8726456044447927,0.1567,0.01
0.8726478026851541,0.1568,0.01
0.8726478026851485,0.1569,0.01
0.8726478026851483,0.157,0.01
0.8735693523798991,0.1571,0.01
0.8735693523798991,0.1572,0.01
0.8737032721959688,0.1573,0.01
0.8737032721959747,0.1574,0.01
0.87470851633789,0.1575,0.01
0.8748427856804697,0.1576,0.01
0.8748427856804595,0.1577,0.01
0.8748427856804635,0.1578,0.01
0.8748427856804741,0.1579,0.01
0.8748427856804688,0.158,0.01
0.8749417615365593,0.1581,0.01
0.8749417615365368,0.1582,0.01
0.8750761025012994,0.1583,0.01
0.8750761025012688,0.1584,0.01
0.8750761025012963,0.1585,0.01
0.8750783130038711,0.1586,0.01
0.8750761090703835,0.1587,0.01
0.8750761090703835,0.1588,0.01
0.8750310725123366,0.1589,0.01
0.8750761025013079,0.159,0.01
0.8750761025013079,0.1591,0.01
0.8750310659439294,0.1592,0.01
0.8750783130038426,0.1593,0.01
0.8750783130038329,0.1594,0.01
0.8750761090703835,0.1595,0.01
0.8750761025013083,0.1596,0.01
0.8750791370183171,0.1597,0.01
0.8750783130038187,0.1598,0.01
0.8750310725123366,0.1599,0.01
0.8750310725123382,0.16,0.01
0.8750783130038229,0.1601,0.01
0.8750791370183251,0.1602,0.01
0.875079137018312,0.1603,0.01
0.8750791370183086,0.1604,0.01
0.8750783195729493,0.1605,0.01
0.8750783130038386,0.1606,0.01
0.875078313003832,0.1607,0.01
0.8750783195729577,0.1608,0.01
0.8750761025012942,0.1609,0.01
0.8750791435874414,0.161,0.01
0.8750791435874459,0.1611,0.01
0.875079137018302,0.1612,0.01
0.8750769265116176,0.1613,0.01
0.8750769330807089,0.1614,0.01
0.8750791435874565,0.1615,0.01
0.8750791370183157,0.1616,0.01
0.8750769265116177,0.1617,0.01
0.8750791435874565,0.1618,0.01
0.875078313003832,0.1619,0.01
