K,mu_GND,mu_OG,mu_EDD
0.0028,0.787169628,0.804387245,0.804387245
0.002795,0.787169628,0.804386742,0.804386742
0.00279,0.787169628,0.804386742,0.804387245
0.002785,0.785738367,0.802925422,0.802925422
0.00278,0.727007301,0.787460277,0.743205405
0.002775,0.727007301,0.785922881,0.743205872
0.00277,0.727007772,0.743205405,0.743205872
0.002765,0.727007772,0.743205872,0.743205872
0.00276,0.727007772,0.743205872,0.743205872
0.002755,0.727007301,0.743205405,0.743205872
0.00275,0.727007772,0.743205872,0.743205872
0.002745,0.727007772,0.743205872,0.743205872
0.00274,0.727007301,0.743205872,0.743205872
0.002735,0.727007772,0.743205872,0.743205872
0.00273,0.727007772,0.743205872,0.743205872
0.002725,0.727007772,0.743205872,0.743205872
0.00272,0.727007772,0.743205872,0.743205872
0.002715,0.727007772,0.743205872,0.743205872
0.00271,0.727007772,0.743205872,0.743205872
0.002705,0.727007772,0.743205872,0.743205872
0.0027,0.727007772,0.743205872,0.743205872
0.002695,0.727007301,0.743205405,0.743205872
0.00269,0.727007772,0.743205872,0.743205872
0.002685,0.727007301,0.743205872,0.743205405
0.00268,0.727007772,0.743205872,0.743205872
0.002675,0.727007772,0.743205872,0.743205872
0.00267,0.727007772,0.743205872,0.743205872
0.002665,0.727007772,0.743205872,0.743205405
0.00266,0.727007772,0.743205872,0.743205872
0.002655,0.727007772,0.743205872,0.743205872
0.00265,0.727007772,0.743205405,0.743205872
0.002645,0.727007772,0.743205872,0.743205872
0.00264,0.727007772,0.743205405,0.743205405
0.002635,0.727007772,0.743205872,0.742500107
0.00263,0.727007772,0.743205405,0.742500107
0.002625,0.727007772,0.743205405,0.72098055
0.00262,0.727007772,0.743205405,0.72098055
0.002615,0.727007772,0.743205872,0.72098055
0.00261,0.727007301,0.743205872,0.72098011
0.002605,0.724958572,0.743205872,0.72098055
0.0026,0.703668779,0.743205405,0.72098011
0.002595,0.70366922,0.741172603,0.719066915
0.00259,0.70366922,0.720028754,0.717087535
0.002585,0.703668779,0.720028754,0.715094257
0.00258,0.701747534,0.720028315,0.699148552
0.002575,0.676594468,0.720028315,0.699148138
0.00257,0.646992653,0.718118403,0.697347254
0.002565,0,0.69437161,0.69437161
0.00256,0,0.692500732,0.692500732
0.002555,0.00E+00,0.643042234,0.638605671
0.00255,0,0,0
