k_val,mets,ln_met,exp_met
0.0026,x_dhap_c,7.152323181942118e-06,6.64852131487966e-06
0.0026,x_glc__D_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_chor_c,1.0000000000000004e-06,9.999999999924849e-07
0.0026,x_gln__L_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_anth_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_fum_c,1.0000000000000004e-06,1.0000000000000006e-06
0.0026,x_succ_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_pran_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_pphn_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_3psme_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_2cpr5p_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_3ig3p_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_4mop_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_leu__L_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_dmpp_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_ipdp_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_grdp_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_frdp_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_hmbil_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_uppg3_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_ckdo_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_lipidA_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_kdolipid4_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_udcpdp_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_u23ga_c,1.0000000000000004e-06,9.999999999803426e-07
0.0026,x_lipidX_c,1.0000000000000004e-06,1.0000000000002005e-06
0.0026,x_mthgxl_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_lipidAds_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_2mahmp_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_4mpetz_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_thmmp_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_2ddg6p_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_g3p_c,6.1884227255128345e-06,5.976618931299731e-06
0.0026,x_dgtp_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_dgmp_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_uri_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_6pgl_c,9.99999999999997e-07,9.999999999999976e-07
0.0026,x_6pgc_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_dgsn_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_pppi_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_gsn_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_3dhq_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_3dhsk_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_3c2hmp_c,7.152323181942118e-06,6.64852131487966e-06
0.0026,x_3c4mop_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_gam6p_c,3.539148272187429e-06,3.38292625823863e-06
0.0026,x_trdrd_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_dadp_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_trdox_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_dcdp_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_dudp_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_acald_c,2.3793650214665988e-06,2.36838145182378e-06
0.0026,x_dump_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_mlthf_c,8.37299554053047e-06,8.224266176269456e-06
0.0026,x_dhf_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_dtmp_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_thymd_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_4ppcys_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_pan4p_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_10fthf_c,1.5409213177495365e-05,1.4323804958193165e-05
0.0026,x_thf_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_23dhmb_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_3mob_c,5.844729835246535e-06,5.711399140440737e-06
0.0026,x_ins_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_4abut_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_sucsal_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_fad_c,1.0000000000000004e-06,1.0000000000000006e-06
0.0026,x_pydxn_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_pdx5p_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_h2o2_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_asp__L_c,1.593810697010628e-05,1.505086887937745e-05
0.0026,x_nmn_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_thr__L_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_2aobut_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_man_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_man6p_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_4ahmmp_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_4ampm_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_hco3_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_malcoa_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_2h3oppan_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_2shchc_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_sucbz_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_ichor_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_23ddhb_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_rbl__L_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_ru5p__L_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_tartr__L_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_5dh4dglc_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_pheme_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_hemeO_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_amet_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_ametam_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_agm_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_urea_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_damp_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_dad_2_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_gthrd_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_lgt__S_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_pydx_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_arg__L_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_citr__L_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_argsuc_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_5mta_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_spmd_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_dxyl5p_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_mana_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_2ddglcn_c,1.0000000000000004e-06,1.0000000000000243e-06
0.0026,x_4c2me_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_2p4c2me_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_altrn_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_icit_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_acgam1p_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_utp_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_uacgam_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_uaccg_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_gly_c,7.152323181942118e-06,6.64852131487966e-06
0.0026,x_csn_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_quln_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_nicrnt_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_hcys__L_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_ahcys_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_met__L_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_2omhmbl_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_lcts_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_gal_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_tre6p_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_g6p_c,1.0000000000000004e-06,1.0000000000000006e-06
0.0026,x_cinnm_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_cenchddd_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_cechddd_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_dhpppn_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_dhcinnm_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_gdpofuc_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_gdpfuc_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_dhpmp_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_dhnpt_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_6hmhpt_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_6hmhptpp_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_dpcoa_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_fru_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_2me4p_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_25drapp_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_urate_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_alltn_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_so4_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_aps_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_3ophb_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_2oph_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_2ohph_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_2omph_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_tag6p__D_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_tagdp__D_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_acac_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_aacoa_c,1.0000000000000004e-06,1.0000000000000006e-06
0.0026,x_sl26da_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_26dap_LL_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_dmso_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_dms_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_2pglyc_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_25dkglcn_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_5dglcn_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_dttp_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_dtdpglu_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_dtdp4d6dg_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_4adcho_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_4abz_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_dha_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_udpgal_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_udpgalfur_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_dtdp4d6dm_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_dtdprmn_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_5prdmbz_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_rdmbzi_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_duri_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_alltt_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_uamr_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_ura_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_ctp_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_adn_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_udcpp_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_ugmda_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_uagmda_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_uaagmda_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_aact_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_ade_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_gmhep17bp_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_gmhep1p_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_gmhep7p_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_adphep_DD_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_adphep_LD_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_xtsn_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_idon__L_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_fadh2_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_gdptp_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_adprib_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_ncam_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_hpyr_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_glyc__R_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_acorn_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_orn_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_din_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_4hbz_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_octdp_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_pnto__R_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_4ppan_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_dcamp_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_acgam6p_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_asn__L_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_4mhetz_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_cbp_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_cbasp_c,1.875596966904454e-05,1.8558270834529995e-05
0.0026,x_ara5p_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_kdo8p_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_kdo_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_h2mb4p_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_succoa_c,0.0002642158258179327,0.00025940853100902303
0.0026,x_sucarg_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_sucglu_c,1.0000000000000004e-06,9.999999999996753e-07
0.0026,x_cynt_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_23dhdp_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_thdp_c,0.00015409213177495357,0.0001432380495819315
0.0026,x_hom__L_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_phom_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_gtspmd_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_gua_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_suchms_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_phpyr_c,5.069056958684922e-06,5.050503839683381e-06
0.0026,x_tmao_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_tma_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_e4p_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_2dda7p_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_nac_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_1pyr5c_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_f1p_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_N1aspmd_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_rhcys_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_dhptd_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_3dhgulnp_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_xu5p__L_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_n8aspmd_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_dtdp4addg_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_dtdp4aaddg_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_23doguln_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_3dhguln_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_tre_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_betald_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_glyb_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_maltpt_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_maltttr_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_fmnh2_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_melib_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_fcl__L_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_fc1p_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_udpg_c,1.0000000000000004e-06,9.999999999999976e-07
