max_growth,k_val,MDF
0.876993338967759,0.17,0.01
0.876992504746463,0.175,0.01
0.8769955591670628,0.18,0.01
0.8769955525691329,0.185,0.01
0.8769947249415511,0.19,0.01
0.8769947315394582,0.195,0.01
0.876995552569138,0.2,0.01
0.8732338899590131,0.205,0.01
0.8694700195977174,0.21,0.01
0.8656637013511297,0.215,0.01
0.861948068906889,0.22,0.01
0.8581872131267672,0.225,0.01
0.8544255439187041,0.23,0.01
0.8506638683108104,0.235,0.01
0.8469022055025865,0.24,0.01
0.8431327563927663,0.245,0.01
0.8393788607715337,0.25,0.01
0.8356171915917779,0.255,0.01
0.8318534227474103,0.26,0.01
0.8280938594622823,0.265,0.01
0.8243321840524902,0.27,0.01
0.8205697466673064,0.275,0.01
0.8168088456929806,0.28,0.01
0.8130471826300549,0.285,0.01
0.8092855134219927,0.29,0.01
0.8055238442139221,0.295,0.01
0.8017621689739491,0.3,0.01
0.7980005057978174,0.305,0.01
0.7942380810850018,0.31,0.01
0.7904751662121008,0.315,0.01
0.7867154981736464,0.32,0.01
0.782951840951629,0.325,0.01
0.7791921597575093,0.33,0.01
0.7754297587695943,0.335,0.01
0.7716688213413954,0.34,0.01
0.767907152133329,0.345,0.01
0.7641435484169008,0.35,0.01
0.7603830904164078,0.355,0.01
0.7566221445091337,0.36,0.01
0.7528597591567147,0.365,0.01
0.7490969096767591,0.37,0.01
0.7452968066223367,0.375,0.01
0.7415747678463069,0.38,0.01
0.7378131021881758,0.385,0.01
0.7340495726868981,0.39,0.01
0.7302149156096578,0.395,0.01
0.7263560916746594,0.4,0.01
0.7224953704475187,0.405,0.01
0.7186346492203619,0.41,0.01
0.7147720653066405,0.415,0.01
0.7109132067660962,0.42,0.01
0.7070501665250251,0.425,0.01
0.7031912796023274,0.43,0.01
0.699293091887914,0.435,0.01
0.695470321857519,0.44,0.01
0.6916095952901595,0.445,0.01
0.6877484053385191,0.45,0.01
0.6838876920531722,0.455,0.01
0.6800274316981424,0.46,0.01
0.6761304824142088,0.465,0.01
0.6723042424786525,0.47,0.01
0.6684094537238536,0.475,0.01
0.6631899621158399,0.48,0.01
0.6546390258593064,0.485,0.01
0.6459963371130782,0.49,0.01
0.6374388560808097,0.495,0.01
0.6288455260224554,0.5,0.01
