max_growth,k_val,MDF
0.876994725,0.2117,
0.876994725,0.2118,
0.876994725,0.2119,
0.876994725,0.212,
0.876994725,0.2121,
0.876994725,0.2122,
0.876994725,0.2123,
0.876994725,0.2124,
0.876994725,0.2125,
0.876994725,0.2126,
0.876994725,0.2127,
0.876994725,0.2128,
0.876994725,0.2129,
0.876994725,0.213,
0.876994725,0.2131,
0.876994725,0.2132,
0.876994725,0.2133,
0.876994725,0.2134,
0.876994725,0.2135,
0.876994725,0.2136,
0.876994725,0.2137,
0.876994725,0.2138,
0.876994725,0.2139,
0.876994725,0.214,
0.876994725,0.2141,
0.876994725,0.2142,
0.876994725,0.2143,
0.876994725,0.2144,
0.876994725,0.2145,
0.876994725,0.2146,
0.876994725,0.2147,
0.876994725,0.2148,
0.876994725,0.2149,
0.876994725,0.215,
0.876994725,0.2151,
0.876994725,0.2152,
0.876994725,0.2153,
0.876994725,0.2154,
0.876994725,0.2155,
0.876994725,0.2156,
0.876994725,0.2157,
0.876994725,0.2158,
0.876994725,0.2159,
0.876994725,0.216,
0.876994725,0.2161,
0.876994725,0.2162,
0.876994725,0.2163,
0.876994725,0.2164,
0.876994725,0.2165,
0.876994725,0.2166,
0.876994725,0.2167,
0.876994725,0.2168,
0.876994725,0.2169,
0.876994725,0.217,
0.876994725,0.2171,
0.876994725,0.2172,
0.876994725,0.2173,
0.876994725,0.2174,
0.876994725,0.2175,
0.876994725,0.2176,
0.876994725,0.2177,
0.876994725,0.2178,
0.876994725,0.2179,
0.876994725,0.218,
0.876994725,0.2181,
0.876994725,0.2182,
0.876994725,0.2183,
0.876994725,0.2184,
0.876994725,0.2185,
0.876994725,0.2186,
0.876994725,0.2187,
0.876994725,0.2188,
0.876994725,0.2189,
0.876994725,0.219,
0.876994725,0.2191,
0.876994725,0.2192,
0.876994725,0.2193,
0.876994725,0.2194,
0.876994725,0.2195,
0.876994725,0.2196,
0.876994725,0.2197,
0.876994725,0.2198,
0.876994725,0.2199,
0.876994725,0.22,
