K,WT,EDD,PGL,GND,EDD_norm,PGL_norm,GND_norm
0.146105,0.802957568,0.802957568,0.759143429,0.786678937,1,0.945434055,0.979726661
0.14611,0.804466739,0.804467259,0.75921857,0.786679446,1.000000646,0.943753836,0.977889337
0.146115,0.804467259,0.804467259,0.75921857,0.786678937,1,0.943753226,0.977888072
0.14612,0.804467259,0.804467259,0.75921857,0.786679446,1,0.943753226,0.977888705
0.146125,0.804467259,0.804467259,0.759397744,0.786679446,1,0.943975949,0.977888705
0.14613,0.804467259,0.804466739,0.759397744,0.786679446,0.999999354,0.943975949,0.977888705
0.146135,0.804467259,0.804467259,0.759397744,0.786679446,1,0.943975949,0.977888705
0.14614,0.804467259,0.804467259,0.759397744,0.786678937,1,0.943975949,0.977888072
0.146145,0.804467259,0.804467259,0.759397744,0.786679446,1,0.943975949,0.977888705
0.14615,0.804467259,0.804467259,0.759387638,0.786679446,1,0.943963386,0.977888705
0.146155,0.804467259,0.804467259,0.759397744,0.786679446,1,0.943975949,0.977888705
0.14616,0.804467259,0.804466739,0.759397744,0.786679446,0.999999354,0.943975949,0.977888705
0.146165,0.804467259,0.804466739,0.759397272,0.786679446,0.999999354,0.943975362,0.977888705
0.14617,0.804415995,0.804467259,0.759397744,0.786678937,1.000063729,0.944036107,0.977950391
0.146175,0.804467259,0.804467259,0.759397272,0.786679446,1,0.943975362,0.977888705
0.14618,0.804467259,0.804467259,0.759387157,0.786679446,1,0.943962789,0.977888705
0.146185,0.804467259,0.804467259,0.759397744,0.786679446,1,0.943975949,0.977888705
0.14619,0.804467259,0.804467259,0.759397744,0.786678937,1,0.943975949,0.977888072
0.146195,0.804467259,0.804467259,0.759397272,0.786679446,1,0.943975362,0.977888705
0.1462,0.804467259,0.804467259,0.759397744,0.786679446,1,0.943975949,0.977888705
0.146205,0.804467259,0.804467259,0.759397744,0.786679446,1,0.943975949,0.977888705
0.14621,0.804467259,0.804467259,0.759397744,0.786679446,1,0.943975949,0.977888705
0.146215,0.804467259,0.804467259,0.759397744,0.786679446,1,0.943975949,0.977888705
0.14622,0.804467259,0.804466739,0.759397744,0.786679446,0.999999354,0.943975949,0.977888705
0.146225,0.804467259,0.804467259,0.759387638,0.786679446,1,0.943963386,0.977888705
0.14623,0.804467259,0.804467259,0.759338483,0.786679446,1,0.943902284,0.977888705
0.146235,0.804467259,0.804467259,0.759397744,0.786679446,1,0.943975949,0.977888705
0.14624,0.804467259,0.804467259,0.759397744,0.786679446,1,0.943975949,0.977888705
0.146245,0.804467259,0.804467259,0.759396891,0.786679446,1,0.943974889,0.977888705
0.14625,0.804467259,0.804467259,0.759397744,0.786679446,1,0.943975949,0.977888705
0.146255,0.804467259,0.804467259,0.759397272,0.786679446,1,0.943975362,0.977888705
0.14626,0.804467259,0.804467259,0.759397744,0.786679446,1,0.943975949,0.977888705
0.146265,0.804467259,0.804467259,0.759397744,0.786679446,1,0.943975949,0.977888705
0.14627,0.804467259,0.804467259,0.759397744,0.786679446,1,0.943975949,0.977888705
0.146275,0.804467259,0.804467259,0.759397744,0.786679446,1,0.943975949,0.977888705
0.14628,0.804467259,0.804467259,0.759387638,0.786679446,1,0.943963386,0.977888705
0.146285,0.804467259,0.804467259,0.759397744,0.786679446,1,0.943975949,0.977888705
0.14629,0.804467259,0.804467259,0.759397744,0.786679446,1,0.943975949,0.977888705
0.146295,0.804467259,0.804467259,0.759397744,0.786679446,1,0.943975949,0.977888705
0.1463,0.804467259,0.804467259,0.759387638,0.786679446,1,0.943963386,0.977888705
0.146305,0.804467259,0.804467259,0.759397744,0.786679446,1,0.943975949,0.977888705
0.14631,0.804467259,0.804466739,0.759397744,0.791424421,0.999999354,0.943975949,0.983786988
0.146315,0.804467259,0.804466739,0.759397744,0.791424886,0.999999354,0.943975949,0.983787565
0.14632,0.804467259,0.804467259,0.759864346,0.791424886,1,0.944555963,0.983787565
0.146325,0.806910434,0.804467259,0.774242351,0.793044281,0.996972185,0.959514611,0.982815747
0.14633,0.816340501,0.804467259,0.781315098,0.807057663,0.985455527,0.957094615,0.988628718
0.146335,0.816340995,0.804467259,0.781315098,0.81447309,0.985454931,0.957094036,0.997711856
0.14634,0.817060787,0.805398554,0.781451569,0.815904264,0.985726602,0.956417908,0.998584532
0.146345,0.818064072,0.805398554,0.782929182,0.81590367,0.984517694,0.957051176,0.997359128
0.14635,0.818064072,0.805685322,0.783065098,0.817625496,0.984868239,0.95721732,0.999463885
0.146355,0.81883098,0.807133486,0.783066218,0.817625496,0.985714398,0.956322168,0.998527798
0.14636,0.818831134,0.807133486,0.783357734,0.817625496,0.985714213,0.956678004,0.998527611
0.146365,0.818831134,0.807133486,0.783357734,0.817625496,0.985714213,0.956678004,0.998527611
0.14637,0.818831134,0.807133486,0.783357734,0.817625,0.985714213,0.956678004,0.998527006
0.146375,0.818831134,0.807133486,0.783357734,0.817625496,0.985714213,0.956678004,0.998527611
0.14638,0.818831134,0.807133486,0.783357734,0.817624899,0.985714213,0.956678004,0.998526882
0.146385,0.818831134,0.807133486,0.783357734,0.817625496,0.985714213,0.956678004,0.998527611
0.14639,0.818831134,0.807133486,0.783357734,0.817625496,0.985714213,0.956678004,0.998527611
0.146395,0.818802833,0.807133486,0.783357734,0.817625496,0.985748282,0.956711069,0.998562123
0.1464,0.818831134,0.807133486,0.783357734,0.817625496,0.985714213,0.956678004,0.998527611
0.146405,0.818831134,0.807133486,0.783768971,0.817625496,0.985714213,0.957180228,0.998527611
0.14641,0.818831134,0.807133486,0.783769437,0.817625496,0.985714213,0.957180797,0.998527611
0.146415,0.818831134,0.807133486,0.783769437,0.817625496,0.985714213,0.957180797,0.998527611
0.14642,0.818831134,0.807133486,0.783769437,0.817625496,0.985714213,0.957180797,0.998527611
0.146425,0.818831134,0.807133486,0.783769437,0.817625496,0.985714213,0.957180797,0.998527611
0.14643,0.818831134,0.807133486,0.784360186,0.817625496,0.985714213,0.957902251,0.998527611
0.146435,0.818831134,0.807133486,0.784360186,0.817625496,0.985714213,0.957902251,0.998527611
0.14644,0.818831134,0.807133486,0.784360186,0.817625496,0.985714213,0.957902251,0.998527611
0.146445,0.818802833,0.80859506,0.800503682,0.817625496,0.987533295,0.977651334,0.998562123
0.14645,0.818831134,0.80859506,0.800503682,0.817624899,0.987499165,0.977617545,0.998526882
0.146455,0.818831134,0.818116358,0.809547845,0.817625496,0.999127079,0.988662756,0.998527611
0.14646,0.819371222,0.819371222,0.809547845,0.817625496,1,0.988011079,0.997869431
0.146465,0.819371222,0.819371222,0.809548354,0.817625496,1,0.988011699,0.997869431
0.14647,0.819371222,0.819370691,0.809548354,0.817625496,0.999999352,0.988011699,0.997869431
0.146475,0.819371222,0.819371222,0.809548354,0.817625496,1,0.988011699,0.997869431
0.14648,0.823018418,0.823018418,0.813553459,0.817624899,1,0.9884997,0.993446661
0.146485,0.823018418,0.823018418,0.813553459,0.817625496,1,0.9884997,0.993447386
0.14649,0.823018418,0.823018418,0.813553459,0.817625496,1,0.9884997,0.993447386
0.146495,0.823018418,0.823018418,0.814253179,0.817624899,1,0.989349888,0.993446661
0.1465,0.823018418,0.823017891,0.814253179,0.817625496,0.99999936,0.989349888,0.993447386
0.146505,0.823018418,0.823018418,0.814253179,0.817625496,1,0.989349888,0.993447386
0.14651,0.823018418,0.823018418,0.814253179,0.817625496,1,0.989349888,0.993447386
0.146515,0.823018418,0.823018418,0.815680553,0.817625496,1,0.991084203,0.993447386
0.14652,0.823018418,0.823018418,0.815680059,0.817625496,1,0.991083604,0.993447386
0.146525,0.823018418,0.823018418,0.815680553,0.817625496,1,0.991084203,0.993447386
0.14653,0.823018418,0.823018418,0.815680553,0.817625496,1,0.991084203,0.993447386
0.146535,0.823018418,0.823018418,0.815680553,0.817625496,1,0.991084203,0.993447386
0.14654,0.823018418,0.823018418,0.815680553,0.817625496,1,0.991084203,0.993447386
0.146545,0.823018418,0.823018418,0.815680553,0.817625496,1,0.991084203,0.993447386
0.14655,0.823018418,0.823018418,0.815680553,0.817625496,1,0.991084203,0.993447386
0.146555,0.823018418,0.823018418,0.815680553,0.817625496,1,0.991084203,0.993447386
0.14656,0.824855497,0.824855497,0.815680553,0.817625496,1,0.988876907,0.991234826
