max_growth,k_val,MDF
0.876993338967759,0.17,0.01
0.876992504746463,0.175,0.01
0.8769955591670628,0.18,0.01
0.8769955525691329,0.185,0.01
0.8769947249415511,0.19,0.01
0.8769947315394582,0.195,0.01
0.876995552569138,0.2,0.01
0.8751147179792418,0.205,0.01
0.8731866326220981,0.21,0.01
0.8713530553549742,0.215,0.01
0.8694722207509445,0.22,0.01
0.8675913796197281,0.225,0.01
0.8657105515428816,0.23,0.01
0.8638297104399622,0.235,0.01
0.8619488823348247,0.24,0.01
0.8600680412602051,0.245,0.01
0.8581864032487272,0.25,0.01
0.8563055639774042,0.255,0.01
0.8544255374905729,0.26,0.01
0.8525447093146824,0.265,0.01
0.8506630655326375,0.27,0.01
0.848782239103377,0.275,0.01
0.8469000614875305,0.28,0.01
0.8450213708985572,0.285,0.01
0.8431405362945213,0.29,0.01
0.8412589014580192,0.295,0.01
0.8393788607715567,0.3,0.01
0.837498026181636,0.305,0.01
0.8356171915917705,0.31,0.01
0.8337342463174844,0.315,0.01
0.8318555286703391,0.32,0.01
0.8299746940663035,0.325,0.01
0.828093071753583,0.33,0.01
0.8262130248582635,0.335,0.01
0.8242875793607718,0.34,0.01
0.8224505794963898,0.345,0.01
0.8205705210461631,0.35,0.01
0.8186889076789874,0.355,0.01
0.816808851838111,0.36,0.01
0.814928017234077,0.365,0.01
0.8130471765132201,0.37,0.01
0.8111663480260152,0.375,0.01
0.8092855134219903,0.38,0.01
0.8074046788179586,0.385,0.01
0.8055230779745246,0.39,0.01
0.8036430096098945,0.395,0.01
0.8017621689739429,0.4,0.01
0.7998805855475406,0.405,0.01
0.7979984855821498,0.41,0.01
0.7960765870946053,0.415,0.01
0.7942388365897455,0.42,0.01
0.7923559960546073,0.425,0.01
0.7904771673816872,0.43,0.01
0.7885817770942819,0.435,0.01
0.7867147557440273,0.44,0.01
0.7848326766845521,0.445,0.01
0.7829525916097957,0.45,0.01
0.7810710169995141,0.455,0.01
0.7791914185656206,0.46,0.01
0.7773113251534763,0.465,0.01
0.7754304847156268,0.47,0.01
0.7735496559454099,0.475,0.01
0.7716688213413895,0.48,0.01
0.7697860321530835,0.485,0.01
0.7678648760034413,0.49,0.01
0.7659848620107021,0.495,0.01
0.7641454829252784,0.5,0.01
