max_growth,k_val,Metabolites,min,max,mean
0.8964,0.009,Acetate,1.00E-06,1.00E-06,0.000001
0.8964,0.009,Acetyl-CoA,0.001485906,0.001485906,0.001485906
0.8964,0.009,ATP,0.000289206,0.000289206,0.000289206
0.8964,0.009,NAD,0.00139007,0.00139007,0.00139007
0.8964,0.008,Acetate,1.00E-06,1.00E-06,0.000001
0.8964,0.008,Acetyl-CoA,0.001385401,0.001385401,0.001385401
0.8964,0.008,ATP,0.000256586,0.000256586,0.000256586
0.8964,0.008,NAD,0.000797549,0.000797549,0.000797549
0.8928,0.007,Acetate,1.71E-06,1.71E-06,1.71297E-06
0.8928,0.007,Acetyl-CoA,0.000715232,0.000715232,0.000715232
0.8928,0.007,ATP,0.000256586,0.000256586,0.000256586
0.8928,0.007,NAD,0.000768346,0.000768346,0.000768346
0.891,0.006,Acetate,1.06E-05,1.06E-05,1.06444E-05
0.891,0.006,Acetyl-CoA,1.00E-06,1.00E-06,1E-06
0.891,0.006,ATP,0.000325626,0.000325626,0.000325626
0.891,0.006,NAD,0.001540921,0.001540921,0.001540921
0.891,0.005,Acetate,1.03E-05,1.03E-05,1.0344E-05
0.891,0.005,Acetyl-CoA,1.00E-06,1.00E-06,0.000001
0.891,0.005,ATP,0.000256592,0.000256592,0.000256592
0.891,0.005,NAD,0.00154128,0.00154128,0.00154128
0.8727,0.004,Acetate,1.00E-06,0.000682824,0.000341912
0.8727,0.004,Acetyl-CoA,1.00E-06,0.000155458,7.82292E-05
0.8727,0.004,ATP,0.000160858,0.001198058,0.000679458
0.8727,0.004,NAD,9.36E-05,0.001343105,0.000718353
0.7432,0.0027,Acetate,1.00E-06,0.000102181,5.15906E-05
0.7432,0.0027,Acetyl-CoA,1.00E-06,3.68E-05,1.89158E-05
0.7432,0.0027,ATP,0.000295083,0.000769811,0.000532447
0.7432,0.0027,NAD,3.19E-05,0.000242896,0.000137398
