k_val,mets,ln_met,exp_met
0.146,x_dtdp4aaddg_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_23doguln_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_3dhguln_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_tre_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_betald_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_glyb_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_maltpt_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_maltttr_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_fmnh2_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_melib_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_fcl__L_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_fc1p_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_udpg_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_26dap__M_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_uamag_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_ugmd_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_uama_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_glu__D_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_urdglyc_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_dctp_c,1.0000000000000004e-06,1.0000000000000006e-06
0.146,x_dcmp_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_op4en_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_4h2opntn_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_pro__L_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_3hpppn_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_gdpmann_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_gdpddman_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_ala_B_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_alaala_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_dcyt_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_dann_c,1.0000000000000004e-06,1.0000000000000006e-06
0.146,x_dtbt_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_dutp_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_u3aga_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_u3hga_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_acmana_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_acmanap_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_histd_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_his__L_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_aspsa_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_gam1p_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_gar_c,1.0000000000000004e-06,1.0000000000000006e-06
0.146,x_fgam_c,1.0000000000000004e-06,1.0000000000000006e-06
0.146,x_eig3p_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_imacp_c,1.0000000000000004e-06,1.0000000000000006e-06
0.146,x_glucys_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_prbatp_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_prbamp_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_pram_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_acser_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_dnad_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_pap_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_paps_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_so3_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_lys__L_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_no2_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_g3pc_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_chol_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_g3pe_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_etha_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_34hpp_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_ascb6p_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_adocbip_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_agdpcbi_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_prfp_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_adocbl_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_adocbi_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_thmpp_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_hkndd_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_dxyl_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_sucorn_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_sucgsa_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_hkntd_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_2pg_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_ppcoa_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_ppap_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_g3pi_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_inost_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_phthr_c,1.0000000000000004e-06,1.0000000000000006e-06
0.146,x_5aop_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_ppbng_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_23dhba_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_seramp_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_enter_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_man6pglyc_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_oxur_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_fpram_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_acmum6p_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_lac__D_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_man1p_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_3php_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_pser__L_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_ap4a_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_ap5a_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_camp_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_air_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_5caiz_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_mi1p__D_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_2mcit_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_taur_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_aacald_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_kdo2lipid4_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_3c3hmp_c,1.588106672955717e-05,1.587658227516844e-05
0.146,x_2dhp_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_malttr_c,1.0000000000000004e-06,9.999999999999972e-07
0.146,x_malt_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_malthx_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_o2s_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_acnam_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_thm_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_udpglcur_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_glcr_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_pppn_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_uacmam_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_uacmamu_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_lald__L_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_lac__L_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_btnso_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_btn_c,1.0000000000000004e-06,9.999999999999976e-07
